time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
144;h_1;1.0;4.6717;LFF;First;Priority
144;h_0;0.0;4.6736;LFF;First;Priority
144;h_3;3.0;4.6736;LFF;First;Priority
144;h_2;2.0;4.6798;LFF;First;Priority
144;h_1;1.0;4.6717;LFF;First;Priority
144;h_0;0.0;4.6736;LFF;First;Priority
144;h_3;3.0;4.6736;LFF;First;Priority
144;h_2;2.0;4.6798;LFF;First;Priority
144;h_1;1.0;4.6717;LFF;First;Priority
144;h_0;0.0;4.6736;LFF;First;Priority
144;h_3;3.0;4.6736;LFF;First;Priority
144;h_2;2.0;4.6798;LFF;First;Priority
144;h_1;1.0;4.6717;LFF;First;Priority
144;h_0;0.0;4.6736;LFF;First;Priority
154;h_3;3.0;5.0074;LFF;First;Priority
154;h_2;2.0;5.0141;LFF;First;Priority
154;h_1;1.0;5.0054;LFF;First;Priority
154;h_0;0.0;5.0074;LFF;First;Priority
154;h_3;3.0;5.0074;LFF;First;Priority
154;h_2;2.0;5.0141;LFF;First;Priority
154;h_1;1.0;5.0054;LFF;First;Priority
154;h_0;0.0;5.0074;LFF;First;Priority
154;h_3;3.0;5.0074;LFF;First;Priority
154;h_2;2.0;5.0141;LFF;First;Priority
154;h_1;1.0;5.0054;LFF;First;Priority
154;h_0;0.0;5.0074;LFF;First;Priority
154;h_3;3.0;5.0074;LFF;First;Priority
154;h_2;2.0;5.0141;LFF;First;Priority
154;h_1;1.0;5.0054;LFF;First;Priority
154;h_0;0.0;5.0074;LFF;First;Priority
162;h_3;3.0;5.3413;LFF;First;Priority
162;h_2;2.0;5.3483;LFF;First;Priority
162;h_1;1.0;5.3391;LFF;First;Priority
162;h_0;0.0;5.3413;LFF;First;Priority
162;h_3;3.0;5.3413;LFF;First;Priority
162;h_2;2.0;5.3483;LFF;First;Priority
162;h_1;1.0;5.3391;LFF;First;Priority
162;h_0;0.0;5.3413;LFF;First;Priority
162;h_3;3.0;5.3413;LFF;First;Priority
162;h_2;2.0;5.3483;LFF;First;Priority
162;h_1;1.0;5.3391;LFF;First;Priority
162;h_0;0.0;5.3413;LFF;First;Priority
162;h_3;3.0;5.3413;LFF;First;Priority
162;h_2;2.0;5.3483;LFF;First;Priority
162;h_1;1.0;5.3391;LFF;First;Priority
162;h_0;0.0;5.3413;LFF;First;Priority
183;h_3;3.0;6.1025;LFF;First;Priority
183;h_2;2.0;6.1105;LFF;First;Priority
183;h_1;1.0;6.1;LFF;First;Priority
183;h_0;0.0;6.1025;LFF;First;Priority
