vm_policy;link_policy;wf_policy;# units: timestamp; flowId; violationType
LFF;BLA;Priority;70;41;SLA_VIOLATION
LFF;BLA;Priority;70;41;SLA_VIOLATION
LFF;BLA;Priority;70;41;SLA_VIOLATION
LFF;BLA;Priority;70;41;SLA_VIOLATION
LFF;BLA;Priority;70;46;SLA_VIOLATION
LFF;BLA;Priority;70;46;SLA_VIOLATION
LFF;BLA;Priority;70;46;SLA_VIOLATION
LFF;BLA;Priority;70;46;SLA_VIOLATION
LFF;BLA;Priority;70;14;SLA_VIOLATION
LFF;BLA;Priority;70;14;SLA_VIOLATION
LFF;BLA;Priority;70;14;SLA_VIOLATION
LFF;BLA;Priority;70;14;SLA_VIOLATION
LFF;BLA;Priority;70;49;SLA_VIOLATION
LFF;BLA;Priority;70;49;SLA_VIOLATION
LFF;BLA;Priority;70;49;SLA_VIOLATION
LFF;BLA;Priority;70;49;SLA_VIOLATION
LFF;BLA;Priority;80;36;SLA_VIOLATION
LFF;BLA;Priority;80;36;SLA_VIOLATION
LFF;BLA;Priority;80;30;SLA_VIOLATION
LFF;BLA;Priority;80;30;SLA_VIOLATION
LFF;BLA;Priority;80;30;SLA_VIOLATION
LFF;BLA;Priority;80;30;SLA_VIOLATION
LFF;BLA;Priority;80;6;SLA_VIOLATION
LFF;BLA;Priority;80;6;SLA_VIOLATION
LFF;BLA;Priority;80;6;SLA_VIOLATION
LFF;BLA;Priority;80;6;SLA_VIOLATION
LFF;BLA;Priority;80;31;SLA_VIOLATION
LFF;BLA;Priority;80;31;SLA_VIOLATION
LFF;BLA;Priority;90;15;SLA_VIOLATION
LFF;BLA;Priority;90;15;SLA_VIOLATION
LFF;BLA;Priority;90;15;SLA_VIOLATION
LFF;BLA;Priority;90;15;SLA_VIOLATION
LFF;BLA;Priority;90;21;SLA_VIOLATION
LFF;BLA;Priority;90;21;SLA_VIOLATION
LFF;BLA;Priority;90;21;SLA_VIOLATION
LFF;BLA;Priority;90;21;SLA_VIOLATION
LFF;BLA;Priority;90;21;SLA_VIOLATION
LFF;BLA;Priority;90;21;SLA_VIOLATION
LFF;BLA;Priority;90;7;SLA_VIOLATION
LFF;BLA;Priority;90;7;SLA_VIOLATION
