time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
70;0;6.25;12.5;20.0;2.3368;LFF;First;SJF
80;3;6.25;12.5;20.0;2.6706;LFF;First;SJF
80;2;12.5;25.0;20.0;2.6742;LFF;First;SJF
80;1;3.125;12.5;20.0;2.6696;LFF;First;SJF
80;0;6.25;12.5;20.0;2.6706;LFF;First;SJF
90;3;6.25;12.5;20.0;3.0045;LFF;First;SJF
90;2;12.5;25.0;20.0;3.0084;LFF;First;SJF
90;1;3.125;12.5;20.0;3.0033;LFF;First;SJF
90;0;6.25;12.5;20.0;3.0045;LFF;First;SJF
100;3;6.25;12.5;20.0;3.3383;LFF;First;SJF
100;2;12.5;25.0;20.0;3.3427;LFF;First;SJF
100;1;3.125;12.5;20.0;3.337;LFF;First;SJF
100;0;6.25;12.5;20.0;3.3383;LFF;First;SJF
110;3;6.25;12.5;20.0;3.6721;LFF;First;SJF
110;2;12.5;25.0;20.0;3.677;LFF;First;SJF
110;1;3.125;12.5;20.0;3.6707;LFF;First;SJF
110;0;6.25;12.5;20.0;3.6721;LFF;First;SJF
120;3;6.25;12.5;20.0;4.006;LFF;First;SJF
120;2;12.5;25.0;20.0;4.0113;LFF;First;SJF
120;1;3.125;12.5;20.0;4.0044;LFF;First;SJF
120;0;6.25;12.5;20.0;4.006;LFF;First;SJF
130;3;6.25;12.5;20.0;4.3398;LFF;First;SJF
130;2;12.5;25.0;20.0;4.3455;LFF;First;SJF
130;1;3.125;12.5;20.0;4.3381;LFF;First;SJF
130;0;6.25;12.5;20.0;4.3398;LFF;First;SJF
140;3;6.25;12.5;20.0;4.6736;LFF;First;SJF
140;2;12.5;25.0;20.0;4.6798;LFF;First;SJF
140;1;3.125;12.5;20.0;4.6717;LFF;First;SJF
140;0;6.25;12.5;20.0;4.6736;LFF;First;SJF
10;3;6.25;12.5;20.0;0.3338;LWFF;BLA;Priority
10;2;12.5;25.0;20.0;0.3343;LWFF;BLA;Priority
10;1;3.125;12.5;20.0;0.3337;LWFF;BLA;Priority
10;0;6.25;12.5;20.0;0.3338;LWFF;BLA;Priority
20;3;6.25;12.5;20.0;0.6677;LWFF;BLA;Priority
20;2;12.5;25.0;20.0;0.6685;LWFF;BLA;Priority
20;1;3.125;12.5;20.0;0.6674;LWFF;BLA;Priority
20;0;6.25;12.5;20.0;0.6677;LWFF;BLA;Priority
30;3;6.25;12.5;20.0;1.0015;LWFF;BLA;Priority
30;2;12.5;25.0;20.0;1.0028;LWFF;BLA;Priority
30;1;3.125;12.5;20.0;1.0011;LWFF;BLA;Priority
30;0;6.25;12.5;20.0;1.0015;LWFF;BLA;Priority
40;3;6.25;12.5;20.0;1.3353;LWFF;BLA;Priority
40;2;12.5;25.0;20.0;1.3371;LWFF;BLA;Priority
40;1;3.125;12.5;20.0;1.3348;LWFF;BLA;Priority
40;0;6.25;12.5;20.0;1.3353;LWFF;BLA;Priority
50;3;6.25;12.5;20.0;1.6691;LWFF;BLA;Priority
50;2;12.5;25.0;20.0;1.6714;LWFF;BLA;Priority
50;1;3.125;12.5;20.0;1.6685;LWFF;BLA;Priority
50;0;6.25;12.5;20.0;1.6691;LWFF;BLA;Priority
60;3;6.25;12.5;20.0;2.003;LWFF;BLA;Priority
60;2;12.5;25.0;20.0;2.0056;LWFF;BLA;Priority
60;1;3.125;12.5;20.0;2.0022;LWFF;BLA;Priority
60;0;6.25;12.5;20.0;2.003;LWFF;BLA;Priority
70;3;6.25;12.5;20.0;2.3368;LWFF;BLA;Priority
70;2;12.5;25.0;20.0;2.3399;LWFF;BLA;Priority
70;1;3.125;12.5;20.0;2.3359;LWFF;BLA;Priority
70;0;6.25;12.5;20.0;2.3368;LWFF;BLA;Priority
80;3;6.25;12.5;20.0;2.6706;LWFF;BLA;Priority
80;2;12.5;25.0;20.0;2.6742;LWFF;BLA;Priority
80;1;3.125;12.5;20.0;2.6696;LWFF;BLA;Priority
