time;vm_id;cpu_util;ram_util;mips_alloc;ram_max;vm_policy;link_policy;wf_policy
50;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
60;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
60;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
60;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
60;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
70;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
70;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
70;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
70;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
80;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
80;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
80;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
80;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
90;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
90;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
90;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
90;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
100;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
100;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
100;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
100;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
110;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
110;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
110;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
110;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
120;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
120;2;0.0;0.0;16000.0;4096;LWFF;BLA;PSO
120;1;0.0;0.0;4000.0;2048;LWFF;BLA;PSO
120;3;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
130;0;0.0;0.0;8000.0;2048;LWFF;BLA;PSO
