time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
100.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
100.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
100.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
100.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
110.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
110.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
110.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
110.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
110.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
110.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
110.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
110.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
120.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
120.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
120.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
120.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
120.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
120.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
120.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
120.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
130.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
130.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
130.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
130.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
130.0;3;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
130.0;2;12.5;25.0;0.0;0.0704;LFF;BLA;SJF
130.0;1;3.13;12.5;0.0;0.0698;LFF;BLA;SJF
130.0;0;6.25;12.5;0.0;0.0699;LFF;BLA;SJF
140.0;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
140.0;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
140.0;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
140.0;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
162.3;3;6.25;12.5;20.0;0.7445;LFF;BLA;SJF
162.3;2;12.5;25.0;20.0;0.7454;LFF;BLA;SJF
162.3;1;3.13;12.5;20.0;0.7442;LFF;BLA;SJF
162.3;0;6.25;12.5;20.0;0.7445;LFF;BLA;SJF
176.4;3;6.25;12.5;20.0;0.4707;LFF;BLA;SJF
176.4;2;12.5;25.0;20.0;0.4713;LFF;BLA;SJF
176.4;1;3.13;12.5;20.0;0.4705;LFF;BLA;SJF
176.4;0;6.25;12.5;20.0;0.4707;LFF;BLA;SJF
186.4;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
186.4;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
186.4;1;3.13;12.5;20.0;0.3337;LFF;BLA;SJF
186.4;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
10.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
10.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
10.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
10.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
10.0;3;6.25;12.5;32.0;0.0704;LFF;First;Priority
10.0;2;12.5;25.0;81.6;0.0716;LFF;First;Priority
10.0;1;3.13;12.5;137.6;0.0717;LFF;First;Priority
10.0;0;6.25;12.5;24.0;0.0703;LFF;First;Priority
20.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
20.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
20.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
20.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
20.0;3;6.25;12.5;20.0;0.0702;LFF;First;Priority
20.0;2;12.5;25.0;120.0;0.0721;LFF;First;Priority
20.0;1;3.13;12.5;178.4;0.0723;LFF;First;Priority
20.0;0;6.25;12.5;38.4;0.0705;LFF;First;Priority
30.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
30.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
30.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
30.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
30.0;3;6.25;12.5;20.0;0.0702;LFF;First;Priority
30.0;2;12.5;25.0;61.6;0.0713;LFF;First;Priority
30.0;1;3.13;12.5;108.8;0.0713;LFF;First;Priority
30.0;0;6.25;12.5;27.2;0.0703;LFF;First;Priority
40.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
40.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
40.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
40.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
40.0;3;6.25;12.5;0.0;0.0699;LFF;First;Priority
40.0;2;12.5;25.0;0.0;0.0704;LFF;First;Priority
40.0;1;3.13;12.5;0.0;0.0698;LFF;First;Priority
40.0;0;6.25;12.5;0.0;0.0699;LFF;First;Priority
50.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
50.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
50.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
50.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
50.0;3;6.25;12.5;0.0;0.0699;LFF;First;Priority
50.0;2;12.5;25.0;0.0;0.0704;LFF;First;Priority
50.0;1;3.13;12.5;0.0;0.0698;LFF;First;Priority
50.0;0;6.25;12.5;0.0;0.0699;LFF;First;Priority
60.0;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
60.0;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
60.0;1;3.13;12.5;20.0;0.3337;LFF;First;Priority
60.0;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
60.0;3;6.25;12.5;0.0;0.0699;LFF;First;Priority
