time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy;dataset
30;h_1;h_1;h_1->(LOCAL)->h_1;10000.0;0.0;0.0;0.0;7549.9997;7549.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;907.2;3075.36;72004.1266;0.0;9050.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_13;h_1;h_13->edge6->agg3->core0->agg0->edge0->h_1;10.0;835.2;2714.95;54004.1281;0.0;6259.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_7;h_1;h_7->edge3->agg1->core0->agg0->edge0->h_1;10.0;881.4;2595.0;3604.1255;0.0;1099.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_3;h_1->edge0->agg0->edge1->h_3;10.0;771.3;4916.8;216004.1005;0.0;2199.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_0;h_1->edge0->h_0;10000.0;1031.4;10.31;10.9;159.0996;169.9996;True;LFF;BLA;Priority;dataset-LargeVF
30;h_10;h_2;h_10->edge5->agg2->core0->agg0->edge1->h_2;10.0;670.2;1604.46;14404.1266;0.0;8489.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_14;h_2;h_14->edge7->agg3->core0->agg0->edge1->h_2;10.0;676.2;1832.48;216004.1282;0.0;8189.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_2;h_2;h_2->(LOCAL)->h_2;10000.0;0.0;0.0;0.0;6779.9997;6779.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_2;h_0->edge0->agg0->edge1->h_2;10.0;865.8;4917.74;21604.1005;0.0;5499.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_3;h_2;h_3->edge1->h_2;10000.0;594.0;5.94;108.1;4961.8996;5069.9997;True;LFF;BLA;Priority;dataset-LargeVF
