# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
400;2;1.5625;6.2500;6.0000;13.0107
400;1;0.7813;3.1250;2.0000;13.0072
400;0;0.7813;3.1250;2.5000;13.0073
410;5;6.2500;12.5000;10.0000;13.3561
410;4;3.1250;6.2500;5.0000;13.3467
410;3;0.7813;3.1250;4.0000;13.3409
410;2;1.5625;6.2500;6.0000;13.3442
410;1;0.7813;3.1250;2.0000;13.3407
410;0;0.7813;3.1250;2.5000;13.3407
420;5;6.2500;12.5000;10.0000;13.6899
420;4;3.1250;6.2500;5.0000;13.6803
420;3;0.7813;3.1250;4.0000;13.6743
420;2;1.5625;6.2500;6.0000;13.6777
420;1;0.7813;3.1250;2.0000;13.6741
420;0;0.7813;3.1250;2.5000;13.6741
430;5;6.2500;12.5000;10.0000;14.0237
430;4;3.1250;6.2500;5.0000;14.0139
430;3;0.7813;3.1250;4.0000;14.0077
430;2;1.5625;6.2500;6.0000;14.0112
430;1;0.7813;3.1250;2.0000;14.0075
430;0;0.7813;3.1250;2.5000;14.0076
440;5;6.2500;12.5000;10.0000;14.3575
440;4;3.1250;6.2500;5.0000;14.3474
440;3;0.7813;3.1250;4.0000;14.3411
440;2;1.5625;6.2500;6.0000;14.3447
440;1;0.7813;3.1250;2.0000;14.3409
440;0;0.7813;3.1250;2.5000;14.3410
450;5;6.2500;12.5000;10.0000;14.6913
450;4;3.1250;6.2500;5.0000;14.6810
450;3;0.7813;3.1250;4.0000;14.6746
450;2;1.5625;6.2500;6.0000;14.6782
450;1;0.7813;3.1250;2.0000;14.6743
450;0;0.7813;3.1250;2.5000;14.6744
460;5;6.2500;12.5000;10.0000;15.0251
460;4;3.1250;6.2500;5.0000;15.0146
460;3;0.7813;3.1250;4.0000;15.0080
460;2;1.5625;6.2500;6.0000;15.0117
460;1;0.7813;3.1250;2.0000;15.0077
460;0;0.7813;3.1250;2.5000;15.0078
470;5;6.2500;12.5000;10.0000;15.3589
