# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
310;1;3.1250;6.2500;5.0000;10.3406
310;0;1.9531;4.6875;4.5000;10.3383
320;11;1.5625;6.2500;6.0000;10.6721
320;10;1.5625;6.2500;5.0000;10.6720
320;9;1.1719;4.6875;5.0000;10.6708
320;8;6.2500;12.5000;10.0000;10.6817
320;7;1.5625;6.2500;5.0000;10.6720
320;6;1.9531;4.6875;4.0000;10.6718
320;5;6.2500;12.5000;10.0000;10.6817
320;4;0.7813;3.1250;4.0000;10.6695
320;3;1.1719;4.6875;4.5000;10.6708
320;2;1.5625;6.2500;4.0000;10.6719
320;1;3.1250;6.2500;5.0000;10.6742
320;0;1.9531;4.6875;4.5000;10.6718
330;11;1.5625;6.2500;6.0000;11.0056
330;10;1.5625;6.2500;5.0000;11.0055
330;9;1.1719;4.6875;5.0000;11.0043
330;8;6.2500;12.5000;10.0000;11.0155
330;7;1.5625;6.2500;5.0000;11.0055
330;6;1.9531;4.6875;4.0000;11.0053
330;5;6.2500;12.5000;10.0000;11.0155
330;4;0.7813;3.1250;4.0000;11.0029
330;3;1.1719;4.6875;4.5000;11.0042
330;2;1.5625;6.2500;4.0000;11.0054
330;1;3.1250;6.2500;5.0000;11.0077
330;0;1.9531;4.6875;4.5000;11.0053
340;11;1.5625;6.2500;6.0000;11.3391
340;10;1.5625;6.2500;5.0000;11.3390
340;9;1.1719;4.6875;5.0000;11.3377
340;8;6.2500;12.5000;10.0000;11.3493
340;7;1.5625;6.2500;5.0000;11.3390
340;6;1.9531;4.6875;4.0000;11.3388
340;5;6.2500;12.5000;10.0000;11.3493
340;4;0.7813;3.1250;4.0000;11.3363
340;3;1.1719;4.6875;4.5000;11.3377
340;2;1.5625;6.2500;4.0000;11.3389
340;1;3.1250;6.2500;5.0000;11.3413
340;0;1.9531;4.6875;4.5000;11.3388
350;11;1.5625;6.2500;6.0000;11.6726
350;10;1.5625;6.2500;5.0000;11.6725
350;9;1.1719;4.6875;5.0000;11.6712
350;8;6.2500;12.5000;10.0000;11.6831
350;7;1.5625;6.2500;5.0000;11.6725
350;6;1.9531;4.6875;4.0000;11.6723
350;5;6.2500;12.5000;10.0000;11.6831
350;4;0.7813;3.1250;4.0000;11.6697
350;3;1.1719;4.6875;4.5000;11.6711
350;2;1.5625;6.2500;4.0000;11.6724
