# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
130.00;7;1.56;6.25;5.00;0.3335
130.00;6;1.95;4.69;4.00;0.3335
130.00;5;6.25;12.50;10.00;0.3338
130.00;4;0.78;3.13;4.00;0.3334
130.00;3;1.17;4.69;4.50;0.3335
130.00;2;1.56;6.25;4.00;0.3335
130.00;1;3.13;6.25;5.00;0.3336
130.00;0;1.95;4.69;4.50;0.3335
130.00;11;1.56;6.25;14.88;0.0698
130.00;10;1.56;6.25;12.72;0.0698
130.00;9;1.17;4.69;3.76;0.0696
130.00;8;6.25;12.50;8.80;0.0701
130.00;7;1.56;6.25;20.80;0.0699
130.00;6;1.95;4.69;14.36;0.0698
130.00;5;6.25;12.50;4.80;0.0700
130.00;4;0.78;3.13;0.00;0.0695
130.00;3;1.17;4.69;9.76;0.0697
130.00;2;1.56;6.25;6.08;0.0697
130.00;1;3.13;6.25;4.00;0.0697
130.00;0;1.95;4.69;5.68;0.0697
140.00;11;1.56;6.25;6.00;0.3335
140.00;10;1.56;6.25;5.00;0.3335
140.00;9;1.17;4.69;5.00;0.3335
140.00;8;6.25;12.50;10.00;0.3338
140.00;7;1.56;6.25;5.00;0.3335
140.00;6;1.95;4.69;4.00;0.3335
140.00;5;6.25;12.50;10.00;0.3338
140.00;4;0.78;3.13;4.00;0.3334
140.00;3;1.17;4.69;4.50;0.3335
140.00;2;1.56;6.25;4.00;0.3335
140.00;1;3.13;6.25;5.00;0.3336
140.00;0;1.95;4.69;4.50;0.3335
140.00;11;1.56;6.25;8.96;0.0698
140.00;10;1.56;6.25;6.16;0.0697
140.00;9;1.17;4.69;2.60;0.0696
140.00;8;6.25;12.50;4.96;0.0700
140.00;7;1.56;6.25;7.36;0.0697
140.00;6;1.95;4.69;5.64;0.0697
140.00;5;6.25;12.50;4.80;0.0700
140.00;4;0.78;3.13;0.00;0.0695
140.00;3;1.17;4.69;6.84;0.0697
140.00;2;1.56;6.25;13.12;0.0698
140.00;1;3.13;6.25;1.52;0.0697
140.00;0;1.95;4.69;2.00;0.0696
150.00;11;1.56;6.25;6.00;0.3335
150.00;10;1.56;6.25;5.00;0.3335
150.00;9;1.17;4.69;5.00;0.3335
150.00;8;6.25;12.50;10.00;0.3338
150.00;7;1.56;6.25;5.00;0.3335
150.00;6;1.95;4.69;4.00;0.3335
150.00;5;6.25;12.50;10.00;0.3338
150.00;4;0.78;3.13;4.00;0.3334
150.00;3;1.17;4.69;4.50;0.3335
150.00;2;1.56;6.25;4.00;0.3335
150.00;1;3.13;6.25;5.00;0.3336
150.00;0;1.95;4.69;4.50;0.3335
150.00;11;1.56;6.25;9.60;0.0698
150.00;10;1.56;6.25;11.20;0.0698
150.00;9;1.17;4.69;4.68;0.0697
150.00;8;6.25;12.50;6.72;0.0700
150.00;7;1.56;6.25;7.36;0.0697
150.00;6;1.95;4.69;6.36;0.0697
150.00;5;6.25;12.50;3.68;0.0700
150.00;4;0.78;3.13;3.36;0.0696
150.00;3;1.17;4.69;8.36;0.0697
150.00;2;1.56;6.25;17.60;0.0699
150.00;1;3.13;6.25;0.00;0.0697
150.00;0;1.95;4.69;4.72;0.0697
160.00;11;1.56;6.25;6.00;0.3335
160.00;10;1.56;6.25;5.00;0.3335
160.00;9;1.17;4.69;5.00;0.3335
160.00;8;6.25;12.50;10.00;0.3338
160.00;7;1.56;6.25;5.00;0.3335
160.00;6;1.95;4.69;4.00;0.3335
160.00;5;6.25;12.50;10.00;0.3338
160.00;4;0.78;3.13;4.00;0.3334
160.00;3;1.17;4.69;4.50;0.3335
160.00;2;1.56;6.25;4.00;0.3335
160.00;1;3.13;6.25;5.00;0.3336
160.00;0;1.95;4.69;4.50;0.3335
160.00;11;1.56;6.25;10.40;0.0698
160.00;10;1.56;6.25;23.20;0.0700
160.00;9;1.17;4.69;2.28;0.0696
160.00;8;6.25;12.50;22.40;0.0702
160.00;7;1.56;6.25;11.36;0.0698
160.00;6;1.95;4.69;11.16;0.0698
160.00;5;6.25;12.50;3.20;0.0700
160.00;4;0.78;3.13;4.80;0.0696
160.00;3;1.17;4.69;8.04;0.0697
160.00;2;1.56;6.25;4.80;0.0697
160.00;1;3.13;6.25;8.00;0.0698
160.00;0;1.95;4.69;3.60;0.0697
170.00;11;1.56;6.25;6.00;0.3335
170.00;10;1.56;6.25;5.00;0.3335
170.00;9;1.17;4.69;5.00;0.3335
170.00;8;6.25;12.50;10.00;0.3338
170.00;7;1.56;6.25;5.00;0.3335
170.00;6;1.95;4.69;4.00;0.3335
170.00;5;6.25;12.50;10.00;0.3338
170.00;4;0.78;3.13;4.00;0.3334
170.00;3;1.17;4.69;4.50;0.3335
170.00;2;1.56;6.25;4.00;0.3335
170.00;1;3.13;6.25;5.00;0.3336
170.00;0;1.95;4.69;4.50;0.3335
170.00;11;1.56;6.25;12.64;0.0698
170.00;10;1.56;6.25;14.56;0.0698
170.00;9;1.17;4.69;2.28;0.0696
170.00;8;6.25;12.50;5.12;0.0700
170.00;7;1.56;6.25;18.96;0.0699
170.00;6;1.95;4.69;5.40;0.0697
170.00;5;6.25;12.50;6.56;0.0700
170.00;4;0.78;3.13;6.40;0.0696
170.00;3;1.17;4.69;5.68;0.0697
170.00;2;1.56;6.25;8.80;0.0698
170.00;1;3.13;6.25;4.00;0.0697
170.00;0;1.95;4.69;1.60;0.0696
180.00;11;1.56;6.25;6.00;0.3335
