0;1;2;vm_policy;link_policy;wf_policy
1040;3;6|7;LFF;BLA;Priority
1040;2;3;LFF;BLA;Priority
1040;1;1;LFF;BLA;Priority
1040;0;2|0;LFF;BLA;Priority
1050;5;4;LFF;BLA;Priority
1050;4;5;LFF;BLA;Priority
1050;3;6|7;LFF;BLA;Priority
1050;2;3;LFF;BLA;Priority
1050;1;1;LFF;BLA;Priority
1050;0;2|0;LFF;BLA;Priority
1060;5;4;LFF;BLA;Priority
1060;4;5;LFF;BLA;Priority
1060;3;6|7;LFF;BLA;Priority
1060;2;3;LFF;BLA;Priority
1060;1;1;LFF;BLA;Priority
1060;0;2|0;LFF;BLA;Priority
1070;5;4;LFF;BLA;Priority
1070;4;5;LFF;BLA;Priority
1070;3;6|7;LFF;BLA;Priority
1070;2;3;LFF;BLA;Priority
1070;1;1;LFF;BLA;Priority
1070;0;2|0;LFF;BLA;Priority
1080;5;4;LFF;BLA;Priority
1080;4;5;LFF;BLA;Priority
1080;3;6|7;LFF;BLA;Priority
1080;2;3;LFF;BLA;Priority
1080;1;1;LFF;BLA;Priority
1080;0;2|0;LFF;BLA;Priority
1090;5;4;LFF;BLA;Priority
1090;4;5;LFF;BLA;Priority
1090;3;6|7;LFF;BLA;Priority
1090;2;3;LFF;BLA;Priority
1090;1;1;LFF;BLA;Priority
1090;0;2|0;LFF;BLA;Priority
1100;5;4;LFF;BLA;Priority
1100;4;5;LFF;BLA;Priority
1100;3;6|7;LFF;BLA;Priority
1100;2;3;LFF;BLA;Priority
1100;1;1;LFF;BLA;Priority
1100;0;2|0;LFF;BLA;Priority
1110;5;4;LFF;BLA;Priority
1110;4;5;LFF;BLA;Priority
1110;3;6|7;LFF;BLA;Priority
1110;2;3;LFF;BLA;Priority
1110;1;1;LFF;BLA;Priority
1110;0;2|0;LFF;BLA;Priority
1120;5;4;LFF;BLA;Priority
1120;4;5;LFF;BLA;Priority
1120;3;6|7;LFF;BLA;Priority
1120;2;3;LFF;BLA;Priority
1120;1;1;LFF;BLA;Priority
1120;0;2|0;LFF;BLA;Priority
1130;5;4;LFF;BLA;Priority
1130;4;5;LFF;BLA;Priority
1130;3;6|7;LFF;BLA;Priority
1130;2;3;LFF;BLA;Priority
1130;1;1;LFF;BLA;Priority
1130;0;2|0;LFF;BLA;Priority
1140;5;4;LFF;BLA;Priority
1140;4;5;LFF;BLA;Priority
1140;3;6|7;LFF;BLA;Priority
1140;2;3;LFF;BLA;Priority
1140;1;1;LFF;BLA;Priority
1140;0;2|0;LFF;BLA;Priority
1150;5;4;LFF;BLA;Priority
1150;4;5;LFF;BLA;Priority
1150;3;6|7;LFF;BLA;Priority
1150;2;3;LFF;BLA;Priority
1150;1;1;LFF;BLA;Priority
1150;0;2|0;LFF;BLA;Priority
1160;5;4;LFF;BLA;Priority
1160;4;5;LFF;BLA;Priority
1160;3;6|7;LFF;BLA;Priority
1160;2;3;LFF;BLA;Priority
1160;1;1;LFF;BLA;Priority
1160;0;2|0;LFF;BLA;Priority
1170;5;4;LFF;BLA;Priority
1170;4;5;LFF;BLA;Priority
1170;3;6|7;LFF;BLA;Priority
1170;2;3;LFF;BLA;Priority
1170;1;1;LFF;BLA;Priority
1170;0;2|0;LFF;BLA;Priority
1180;5;4;LFF;BLA;Priority
1180;4;5;LFF;BLA;Priority
1180;3;6|7;LFF;BLA;Priority
1180;2;3;LFF;BLA;Priority
1180;1;1;LFF;BLA;Priority
1180;0;2|0;LFF;BLA;Priority
1190;5;4;LFF;BLA;Priority
1190;4;5;LFF;BLA;Priority
1190;3;6|7;LFF;BLA;Priority
1190;2;3;LFF;BLA;Priority
1190;1;1;LFF;BLA;Priority
1190;0;2|0;LFF;BLA;Priority
1200;5;4;LFF;BLA;Priority
1200;4;5;LFF;BLA;Priority
1200;3;6|7;LFF;BLA;Priority
1200;2;3;LFF;BLA;Priority
1200;1;1;LFF;BLA;Priority
1200;0;2|0;LFF;BLA;Priority
1210;5;4;LFF;BLA;Priority
1210;4;5;LFF;BLA;Priority
1210;3;6|7;LFF;BLA;Priority
1210;2;3;LFF;BLA;Priority
1210;1;1;LFF;BLA;Priority
1210;0;2|0;LFF;BLA;Priority
1220;5;4;LFF;BLA;Priority
1220;4;5;LFF;BLA;Priority
1220;3;6|7;LFF;BLA;Priority
1220;2;3;LFF;BLA;Priority
