0;1;2;3;4;5;6;7;vm_policy;link_policy;wf_policy
timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W);LFF;BLA;Priority
270;h_5;4;6.2500;12.5000;10.0000;LFF;8.6815;LFF;BLA;Priority
270;h_4;5;3.1250;6.2500;5.0000;LFF;8.6755;LFF;BLA;Priority
270;h_3;6|7;0.7813;3.1250;4.0000;LFF;8.6716;LFF;BLA;Priority
270;h_2;3;1.5625;6.2500;6.0000;LFF;8.6738;LFF;BLA;Priority
270;h_1;1;0.7813;3.1250;2.0000;LFF;8.6715;LFF;BLA;Priority
270;h_0;2|0;0.7813;3.1250;2.5000;LFF;8.6715;LFF;BLA;Priority
280;h_5;4;6.2500;12.5000;10.0000;LFF;9.0154;LFF;BLA;Priority
280;h_4;5;3.1250;6.2500;5.0000;LFF;9.0090;LFF;BLA;Priority
280;h_3;6|7;0.7813;3.1250;4.0000;LFF;9.0051;LFF;BLA;Priority
280;h_2;3;1.5625;6.2500;6.0000;LFF;9.0073;LFF;BLA;Priority
280;h_1;1;0.7813;3.1250;2.0000;LFF;9.0049;LFF;BLA;Priority
280;h_0;2|0;0.7813;3.1250;2.5000;LFF;9.0050;LFF;BLA;Priority
290;h_5;4;6.2500;12.5000;10.0000;LFF;9.3492;LFF;BLA;Priority
290;h_4;5;3.1250;6.2500;5.0000;LFF;9.3426;LFF;BLA;Priority
290;h_3;6|7;0.7813;3.1250;4.0000;LFF;9.3385;LFF;BLA;Priority
290;h_2;3;1.5625;6.2500;6.0000;LFF;9.3408;LFF;BLA;Priority
290;h_1;1;0.7813;3.1250;2.0000;LFF;9.3383;LFF;BLA;Priority
290;h_0;2|0;0.7813;3.1250;2.5000;LFF;9.3384;LFF;BLA;Priority
300;h_5;4;6.2500;12.5000;10.0000;LFF;9.6830;LFF;BLA;Priority
300;h_4;5;3.1250;6.2500;5.0000;LFF;9.6762;LFF;BLA;Priority
300;h_3;6|7;0.7813;3.1250;4.0000;LFF;9.6719;LFF;BLA;Priority
300;h_2;3;1.5625;6.2500;6.0000;LFF;9.6743;LFF;BLA;Priority
300;h_1;1;0.7813;3.1250;2.0000;LFF;9.6717;LFF;BLA;Priority
300;h_0;2|0;0.7813;3.1250;2.5000;LFF;9.6718;LFF;BLA;Priority
310;h_5;4;6.2500;12.5000;10.0000;LFF;10.0168;LFF;BLA;Priority
310;h_4;5;3.1250;6.2500;5.0000;LFF;10.0097;LFF;BLA;Priority
310;h_3;6|7;0.7813;3.1250;4.0000;LFF;10.0053;LFF;BLA;Priority
310;h_2;3;1.5625;6.2500;6.0000;LFF;10.0078;LFF;BLA;Priority
310;h_1;1;0.7813;3.1250;2.0000;LFF;10.0052;LFF;BLA;Priority
310;h_0;2|0;0.7813;3.1250;2.5000;LFF;10.0052;LFF;BLA;Priority
320;h_5;4;6.2500;12.5000;10.0000;LFF;10.3506;LFF;BLA;Priority
320;h_4;5;3.1250;6.2500;5.0000;LFF;10.3433;LFF;BLA;Priority
320;h_3;6|7;0.7813;3.1250;4.0000;LFF;10.3388;LFF;BLA;Priority
320;h_2;3;1.5625;6.2500;6.0000;LFF;10.3413;LFF;BLA;Priority
320;h_1;1;0.7813;3.1250;2.0000;LFF;10.3386;LFF;BLA;Priority
320;h_0;2|0;0.7813;3.1250;2.5000;LFF;10.3386;LFF;BLA;Priority
330;h_5;4;6.2500;12.5000;10.0000;LFF;10.6844;LFF;BLA;Priority
330;h_4;5;3.1250;6.2500;5.0000;LFF;10.6769;LFF;BLA;Priority
330;h_3;6|7;0.7813;3.1250;4.0000;LFF;10.6722;LFF;BLA;Priority
330;h_2;3;1.5625;6.2500;6.0000;LFF;10.6748;LFF;BLA;Priority
330;h_1;1;0.7813;3.1250;2.0000;LFF;10.6720;LFF;BLA;Priority
330;h_0;2|0;0.7813;3.1250;2.5000;LFF;10.6720;LFF;BLA;Priority
340;h_5;4;6.2500;12.5000;10.0000;LFF;11.0182;LFF;BLA;Priority
340;h_4;5;3.1250;6.2500;5.0000;LFF;11.0104;LFF;BLA;Priority
340;h_3;6|7;0.7813;3.1250;4.0000;LFF;11.0056;LFF;BLA;Priority
340;h_2;3;1.5625;6.2500;6.0000;LFF;11.0083;LFF;BLA;Priority
340;h_1;1;0.7813;3.1250;2.0000;LFF;11.0054;LFF;BLA;Priority
340;h_0;2|0;0.7813;3.1250;2.5000;LFF;11.0055;LFF;BLA;Priority
350;h_5;4;6.2500;12.5000;10.0000;LFF;11.3520;LFF;BLA;Priority
350;h_4;5;3.1250;6.2500;5.0000;LFF;11.3440;LFF;BLA;Priority
350;h_3;6|7;0.7813;3.1250;4.0000;LFF;11.3390;LFF;BLA;Priority
350;h_2;3;1.5625;6.2500;6.0000;LFF;11.3418;LFF;BLA;Priority
350;h_1;1;0.7813;3.1250;2.0000;LFF;11.3388;LFF;BLA;Priority
350;h_0;2|0;0.7813;3.1250;2.5000;LFF;11.3389;LFF;BLA;Priority
360;h_5;4;6.2500;12.5000;10.0000;LFF;11.6858;LFF;BLA;Priority
360;h_4;5;3.1250;6.2500;5.0000;LFF;11.6776;LFF;BLA;Priority
360;h_3;6|7;0.7813;3.1250;4.0000;LFF;11.6724;LFF;BLA;Priority
360;h_2;3;1.5625;6.2500;6.0000;LFF;11.6753;LFF;BLA;Priority
360;h_1;1;0.7813;3.1250;2.0000;LFF;11.6722;LFF;BLA;Priority
360;h_0;2|0;0.7813;3.1250;2.5000;LFF;11.6723;LFF;BLA;Priority
370;h_5;4;6.2500;12.5000;10.0000;LFF;12.0196;LFF;BLA;Priority
370;h_4;5;3.1250;6.2500;5.0000;LFF;12.0111;LFF;BLA;Priority
370;h_3;6|7;0.7813;3.1250;4.0000;LFF;12.0059;LFF;BLA;Priority
370;h_2;3;1.5625;6.2500;6.0000;LFF;12.0088;LFF;BLA;Priority
370;h_1;1;0.7813;3.1250;2.0000;LFF;12.0057;LFF;BLA;Priority
370;h_0;2|0;0.7813;3.1250;2.5000;LFF;12.0057;LFF;BLA;Priority
380;h_5;4;6.2500;12.5000;10.0000;LFF;12.3534;LFF;BLA;Priority
380;h_4;5;3.1250;6.2500;5.0000;LFF;12.3447;LFF;BLA;Priority
380;h_3;6|7;0.7813;3.1250;4.0000;LFF;12.3393;LFF;BLA;Priority
380;h_2;3;1.5625;6.2500;6.0000;LFF;12.3423;LFF;BLA;Priority
380;h_1;1;0.7813;3.1250;2.0000;LFF;12.3391;LFF;BLA;Priority
380;h_0;2|0;0.7813;3.1250;2.5000;LFF;12.3391;LFF;BLA;Priority
390;h_5;4;6.2500;12.5000;10.0000;LFF;12.6872;LFF;BLA;Priority
390;h_4;5;3.1250;6.2500;5.0000;LFF;12.6783;LFF;BLA;Priority
390;h_3;6|7;0.7813;3.1250;4.0000;LFF;12.6727;LFF;BLA;Priority
390;h_2;3;1.5625;6.2500;6.0000;LFF;12.6758;LFF;BLA;Priority
390;h_1;1;0.7813;3.1250;2.0000;LFF;12.6725;LFF;BLA;Priority
390;h_0;2|0;0.7813;3.1250;2.5000;LFF;12.6725;LFF;BLA;Priority
400;h_5;4;6.2500;12.5000;10.0000;LFF;13.0210;LFF;BLA;Priority
400;h_4;5;3.1250;6.2500;5.0000;LFF;13.0118;LFF;BLA;Priority
400;h_3;6|7;0.7813;3.1250;4.0000;LFF;13.0061;LFF;BLA;Priority
400;h_2;3;1.5625;6.2500;6.0000;LFF;13.0093;LFF;BLA;Priority
400;h_1;1;0.7813;3.1250;2.0000;LFF;13.0059;LFF;BLA;Priority
400;h_0;2|0;0.7813;3.1250;2.5000;LFF;13.0060;LFF;BLA;Priority
410;h_5;4;6.2500;12.5000;10.0000;LFF;13.3548;LFF;BLA;Priority
410;h_4;5;3.1250;6.2500;5.0000;LFF;13.3454;LFF;BLA;Priority
410;h_3;6|7;0.7813;3.1250;4.0000;LFF;13.3395;LFF;BLA;Priority
410;h_2;3;1.5625;6.2500;6.0000;LFF;13.3428;LFF;BLA;Priority
410;h_1;1;0.7813;3.1250;2.0000;LFF;13.3393;LFF;BLA;Priority
410;h_0;2|0;0.7813;3.1250;2.5000;LFF;13.3394;LFF;BLA;Priority
420;h_5;4;6.2500;12.5000;10.0000;LFF;13.6886;LFF;BLA;Priority
420;h_4;5;3.1250;6.2500;5.0000;LFF;13.6790;LFF;BLA;Priority
420;h_3;6|7;0.7813;3.1250;4.0000;LFF;13.6730;LFF;BLA;Priority
420;h_2;3;1.5625;6.2500;6.0000;LFF;13.6763;LFF;BLA;Priority
420;h_1;1;0.7813;3.1250;2.0000;LFF;13.6727;LFF;BLA;Priority
