# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
340.00;11;34.38;87.50;0.00;0.0725
340.00;10;10.16;34.38;0.00;0.0705
350.00;11;34.38;87.50;76.00;0.3362
350.00;10;10.16;34.38;32.00;0.3343
350.00;9;0.00;0.00;0.00;0.0000
350.00;8;0.00;0.00;0.00;0.0000
350.00;7;0.00;0.00;0.00;0.0000
350.00;6;0.00;0.00;0.00;0.0000
350.00;5;0.00;0.00;0.00;0.0000
350.00;4;0.00;0.00;0.00;0.0000
350.00;3;0.00;0.00;0.00;0.0000
350.00;2;0.00;0.00;0.00;0.0000
350.00;1;0.00;0.00;0.00;0.0000
350.00;0;0.00;0.00;0.00;0.0000
350.00;11;34.38;87.50;0.00;0.0725
350.00;10;10.16;34.38;0.00;0.0705
360.00;11;34.38;87.50;76.00;0.3362
360.00;10;10.16;34.38;32.00;0.3343
360.00;9;0.00;0.00;0.00;0.0000
360.00;8;0.00;0.00;0.00;0.0000
360.00;7;0.00;0.00;0.00;0.0000
360.00;6;0.00;0.00;0.00;0.0000
360.00;5;0.00;0.00;0.00;0.0000
360.00;4;0.00;0.00;0.00;0.0000
360.00;3;0.00;0.00;0.00;0.0000
360.00;2;0.00;0.00;0.00;0.0000
360.00;1;0.00;0.00;0.00;0.0000
360.00;0;0.00;0.00;0.00;0.0000
360.00;11;34.38;87.50;0.00;0.0725
360.00;10;10.16;34.38;0.00;0.0705
370.00;11;34.38;87.50;76.00;0.3362
370.00;10;10.16;34.38;32.00;0.3343
370.00;9;0.00;0.00;0.00;0.0000
370.00;8;0.00;0.00;0.00;0.0000
370.00;7;0.00;0.00;0.00;0.0000
370.00;6;0.00;0.00;0.00;0.0000
370.00;5;0.00;0.00;0.00;0.0000
370.00;4;0.00;0.00;0.00;0.0000
370.00;3;0.00;0.00;0.00;0.0000
370.00;2;0.00;0.00;0.00;0.0000
370.00;1;0.00;0.00;0.00;0.0000
370.00;0;0.00;0.00;0.00;0.0000
370.00;11;34.38;87.50;0.00;0.0725
370.00;10;10.16;34.38;0.00;0.0705
380.00;11;34.38;87.50;76.00;0.3362
380.00;10;10.16;34.38;32.00;0.3343
380.00;9;0.00;0.00;0.00;0.0000
380.00;8;0.00;0.00;0.00;0.0000
380.00;7;0.00;0.00;0.00;0.0000
380.00;6;0.00;0.00;0.00;0.0000
380.00;5;0.00;0.00;0.00;0.0000
380.00;4;0.00;0.00;0.00;0.0000
380.00;3;0.00;0.00;0.00;0.0000
380.00;2;0.00;0.00;0.00;0.0000
380.00;1;0.00;0.00;0.00;0.0000
