# units: time(s); hostId; energy(Wh)
1140;0;0.0697
1150;5;0.0000
1150;4;0.0000
1150;3;0.0697
1150;2;0.0000
1150;1;0.0000
1150;0;0.0697
1160;5;0.0000
1160;4;0.0000
1160;3;0.0697
1160;2;0.0000
1160;1;0.0000
1160;0;0.0697
1170;5;0.0000
1170;4;0.0000
1170;3;0.0697
1170;2;0.0000
1170;1;0.0000
1170;0;0.0697
1180;5;0.0000
1180;4;0.0000
1180;3;0.0697
1180;2;0.0000
1180;1;0.0000
1180;0;0.0697
1190;5;0.0000
1190;4;0.0000
1190;3;0.0697
1190;2;0.0000
1190;1;0.0000
1190;0;0.0697
1200;5;0.0000
1200;4;0.0000
1200;3;0.0697
1200;2;0.0000
1200;1;0.0000
1200;0;0.0697
1210;5;0.0000
1210;4;0.0000
1210;3;0.0697
1210;2;0.0000
1210;1;0.0000
1210;0;0.0697
1220;5;0.0000
1220;4;0.0000
1220;3;0.0697
1220;2;0.0000
1220;1;0.0000
1220;0;0.0697
1230;5;0.0000
1230;4;0.0000
1230;3;0.0697
1230;2;0.0000
1230;1;0.0000
1230;0;0.0697
1240;5;0.0000
1240;4;0.0000
1240;3;0.0697
1240;2;0.0000
1240;1;0.0000
1240;0;0.0697
1250;5;0.0000
1250;4;0.0000
1250;3;0.0697
1250;2;0.0000
1250;1;0.0000
1250;0;0.0697
1260;5;0.0000
1260;4;0.0000
1260;3;0.0697
1260;2;0.0000
1260;1;0.0000
1260;0;0.0697
1270;5;0.0000
1270;4;0.0000
1270;3;0.0697
1270;2;0.0000
1270;1;0.0000
1270;0;0.0697
1280;5;0.0000
1280;4;0.0000
1280;3;0.0697
1280;2;0.0000
1280;1;0.0000
1280;0;0.0697
1290;5;0.0000
1290;4;0.0000
1290;3;0.0697
1290;2;0.0000
1290;1;0.0000
1290;0;0.0697
1300;5;0.0000
1300;4;0.0000
1300;3;0.0697
1300;2;0.0000
1300;1;0.0000
1300;0;0.0697
1310;5;0.0000
1310;4;0.0000
1310;3;0.0697
1310;2;0.0000
1310;1;0.0000
1310;0;0.0697
1320;5;0.0000
1320;4;0.0000
1320;3;0.0697
1320;2;0.0000
1320;1;0.0000
1320;0;0.0697
1330;5;0.0000
1330;4;0.0000
1330;3;0.0697
1330;2;0.0000
1330;1;0.0000
1330;0;0.0697
1340;5;0.0000
1340;4;0.0000
1340;3;0.0697
1340;2;0.0000
1340;1;0.0000
1340;0;0.0697
1350;5;0.0000
1350;4;0.0000
1350;3;0.0697
1350;2;0.0000
1350;1;0.0000
1350;0;0.0697
1360;5;0.0000
1360;4;0.0000
1360;3;0.0697
1360;2;0.0000
1360;1;0.0000
1360;0;0.0697
1370;5;0.0000
1370;4;0.0000
1370;3;0.0697
1370;2;0.0000
1370;1;0.0000
1370;0;0.0697
1380;5;0.0000
1380;4;0.0000
1380;3;0.0697
1380;2;0.0000
1380;1;0.0000
1380;0;0.0697
1390;5;0.0000
1390;4;0.0000
1390;3;0.0697
1390;2;0.0000
1390;1;0.0000
1390;0;0.0697
1400;5;0.0000
1400;4;0.0000
1400;3;0.0697
1400;2;0.0000
1400;1;0.0000
1400;0;0.0697
1410;5;0.0000
1410;4;0.0000
1410;3;0.0697
1410;2;0.0000
1410;1;0.0000
1410;0;0.0697
1420;5;0.0000
1420;4;0.0000
1420;3;0.0697
1420;2;0.0000
1420;1;0.0000
1420;0;0.0697
1430;5;0.0000
1430;4;0.0000
1430;3;0.0697
1430;2;0.0000
1430;1;0.0000
1430;0;0.0697
1440;5;0.0000
1440;4;0.0000
1440;3;0.0697
1440;2;0.0000
1440;1;0.0000
1440;0;0.0697
1450;5;0.0000
1450;4;0.0000
1450;3;0.0697
1450;2;0.0000
1450;1;0.0000
1450;0;0.0697
1460;5;0.0000
1460;4;0.0000
1460;3;0.0697
1460;2;0.0000
1460;1;0.0000
1460;0;0.0697
1470;5;0.0000
1470;4;0.0000
1470;3;0.0697
1470;2;0.0000
1470;1;0.0000
1470;0;0.0697
1480;5;0.0000
1480;4;0.0000
1480;3;0.0697
1480;2;0.0000
1480;1;0.0000
1480;0;0.0697
1490;5;0.0000
1490;4;0.0000
1490;3;0.0697
1490;2;0.0000
1490;1;0.0000
1490;0;0.0697
1500;5;0.0000
1500;4;0.0000
1500;3;0.0697
1500;2;0.0000
1500;1;0.0000
1500;0;0.0697
1510;5;0.0000
1510;4;0.0000
1510;3;0.0697
1510;2;0.0000
1510;1;0.0000
1510;0;0.0697
1520;5;0.0000
1520;4;0.0000
1520;3;0.0697
1520;2;0.0000
1520;1;0.0000
1520;0;0.0697
1530;5;0.0000
1530;4;0.0000
1530;3;0.0697
1530;2;0.0000
1530;1;0.0000
1530;0;0.0697
1540;5;0.0000
1540;4;0.0000
1540;3;0.0697
1540;2;0.0000
1540;1;0.0000
1540;0;0.0697
1550;5;0.0000
1550;4;0.0000
1550;3;0.0697
1550;2;0.0000
1550;1;0.0000
1550;0;0.0697
1560;5;0.0000
1560;4;0.0000
1560;3;0.0697
1560;2;0.0000
1560;1;0.0000
1560;0;0.0697
1570;5;0.0000
1570;4;0.0000
1570;3;0.0697
1570;2;0.0000
1570;1;0.0000
1570;0;0.0697
1580;5;0.0000
1580;4;0.0000
1580;3;0.0697
1580;2;0.0000
1580;1;0.0000
1580;0;0.0697
1590;5;0.0000
1590;4;0.0000
1590;3;0.0697
1590;2;0.0000
1590;1;0.0000
1590;0;0.0697
1600;5;0.0000
1600;4;0.0000
1600;3;0.0697
1600;2;0.0000
1600;1;0.0000
1600;0;0.0697
1610;5;0.0000
1610;4;0.0000
1610;3;0.0697
1610;2;0.0000
1610;1;0.0000
1610;0;0.0697
1620;5;0.0000
1620;4;0.0000
1620;3;0.0697
1620;2;0.0000
1620;1;0.0000
1620;0;0.0697
1630;5;0.0000
1630;4;0.0000
1630;3;0.0697
1630;2;0.0000
1630;1;0.0000
1630;0;0.0697
1640;5;0.0000
1640;4;0.0000
1640;3;0.0697
1640;2;0.0000
1640;1;0.0000
1640;0;0.0697
1650;5;0.0000
1650;4;0.0000
1650;3;0.0697
1650;2;0.0000
1650;1;0.0000
1650;0;0.0697
1660;5;0.0000
1660;4;0.0000
1660;3;0.0697
1660;2;0.0000
1660;1;0.0000
1660;0;0.0697
1670;5;0.0000
1670;4;0.0000
1670;3;0.0697
1670;2;0.0000
1670;1;0.0000
1670;0;0.0697
1680;5;0.0000
1680;4;0.0000
1680;3;0.0697
1680;2;0.0000
1680;1;0.0000
1680;0;0.0697
1690;5;0.0000
1690;4;0.0000
1690;3;0.0697
1690;2;0.0000
1690;1;0.0000
1690;0;0.0697
1700;5;0.0000
1700;4;0.0000
1700;3;0.0697
1700;2;0.0000
1700;1;0.0000
1700;0;0.0697
1710;5;0.0000
1710;4;0.0000
1710;3;0.0697
1710;2;0.0000
1710;1;0.0000
1710;0;0.0697
1720;5;0.0000
1720;4;0.0000
1720;3;0.0697
1720;2;0.0000
1720;1;0.0000
1720;0;0.0697
1730;5;0.0000
1730;4;0.0000
1730;3;0.0697
1730;2;0.0000
1730;1;0.0000
1730;0;0.0697
1740;5;0.0000
1740;4;0.0000
1740;3;0.0697
1740;2;0.0000
1740;1;0.0000
1740;0;0.0697
1750;5;0.0000
1750;4;0.0000
1750;3;0.0697
1750;2;0.0000
1750;1;0.0000
