# units: time(s); hostId; vmIds
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;4
1860;0;4|2|1|6
1870;5;
1870;4;
1870;3;3|5|0|7
1870;2;
1870;1;
1870;0;4|2|1|6
1880;5;
1880;4;
1880;3;3|5|0|7
1880;2;
1880;1;
1880;0;4|2|1|6
1890;5;
1890;4;
1890;3;3|5|0|7
1890;2;
1890;1;
1890;0;4|2|1|6
1900;5;
1900;4;
1900;3;3|5|0|7
1900;2;
1900;1;
1900;0;4|2|1|6
1910;5;
1910;4;
1910;3;3|5|0|7
1910;2;
1910;1;
1910;0;4|2|1|6
1920;5;
1920;4;
1920;3;3|5|0|7
1920;2;
1920;1;
1920;0;4|2|1|6
1930;5;
1930;4;
1930;3;3|5|0|7
1930;2;
1930;1;
1930;0;4|2|1|6
1940;5;
1940;4;
1940;3;3|5|0|7
1940;2;
1940;1;
1940;0;4|2|1|6
1950;5;
1950;4;
1950;3;3|5|0|7
1950;2;
1950;1;
1950;0;4|2|1|6
1960;5;
1960;4;
1960;3;3|5|0|7
1960;2;
1960;1;
1960;0;4|2|1|6
1970;5;
1970;4;
1970;3;3|5|0|7
1970;2;
1970;1;
1970;0;4|2|1|6
1980;5;
1980;4;
1980;3;3|5|0|7
1980;2;
1980;1;
1980;0;4|2|1|6
1990;5;
1990;4;
1990;3;3|5|0|7
1990;2;
1990;1;
1990;0;4|2|1|6
2000;5;
2000;4;
2000;3;3|5|0|7
2000;2;
2000;1;
2000;0;4|2|1|6
2010;5;
2010;4;
2010;3;3|5|0|7
2010;2;
2010;1;
2010;0;4|2|1|6
2020;5;
2020;4;
2020;3;3|5|0|7
2020;2;
2020;1;
2020;0;4|2|1|6
2030;5;
2030;4;
2030;3;3|5|0|7
2030;2;
2030;1;
2030;0;4|2|1|6
2040;5;
2040;4;
2040;3;3|5|0|7
2040;2;
2040;1;
2040;0;4|2|1|6
2050;5;
2050;4;
2050;3;3|5|0|7
2050;2;
2050;1;
2050;0;4|2|1|6
2060;5;
2060;4;
2060;3;3|5|0|7
2060;2;
2060;1;
2060;0;4|2|1|6
2070;5;
2070;4;
2070;3;3|5|0|7
2070;2;
2070;1;
2070;0;4|2|1|6
2080;5;
2080;4;
2080;3;3|5|0|7
2080;2;
2080;1;
2080;0;4|2|1|6
2090;5;
2090;4;
2090;3;3|5|0|7
2090;2;
2090;1;
2090;0;4|2|1|6
2100;5;
2100;4;
2100;3;3|5|0|7
2100;2;
2100;1;
2100;0;4|2|1|6
2110;5;
2110;4;
2110;3;3|5|0|7
2110;2;
2110;1;
2110;0;4|2|1|6
2120;5;
2120;4;
2120;3;3|5|0|7
2120;2;
2120;1;
2120;0;4|2|1|6
2130;5;
2130;4;
2130;3;3|5|0|7
2130;2;
2130;1;
2130;0;4|2|1|6
2140;5;
2140;4;
2140;3;3|5|0|7
2140;2;
2140;1;
2140;0;4|2|1|6
2150;5;
2150;4;
2150;3;3|5|0|7
2150;2;
2150;1;
2150;0;4|2|1|6
2160;5;
2160;4;
2160;3;3|5|0|7
2160;2;
2160;1;
2160;0;4|2|1|6
2170;5;
2170;4;
2170;3;3|5|0|7
2170;2;
2170;1;
2170;0;4|2|1|6
2180;5;
2180;4;
2180;3;3|5|0|7
2180;2;
2180;1;
2180;0;4|2|1|6
2190;5;
2190;4;
2190;3;3|5|0|7
2190;2;
2190;1;
2190;0;4|2|1|6
2200;5;
2200;4;
2200;3;3|5|0|7
2200;2;
2200;1;
2200;0;4|2|1|6
2210;5;
2210;4;
2210;3;3|5|0|7
2210;2;
2210;1;
2210;0;4|2|1|6
2220;5;
2220;4;
2220;3;3|5|0|7
2220;2;
2220;1;
2220;0;4|2|1|6
2230;5;
2230;4;
2230;3;3|5|0|7
2230;2;
2230;1;
2230;0;4|2|1|6
2240;5;
2240;4;
2240;3;3|5|0|7
2240;2;
2240;1;
2240;0;4|2|1|6
2250;5;
2250;4;
2250;3;3|5|0|7
2250;2;
2250;1;
2250;0;4|2|1|6
2260;5;
