# units: time(s); switchId; energy(watt)
720;16;13.3400
720;15;13.3400
720;14;13.3400
720;13;13.3400
720;12;13.3400
730;23;13.5253
730;22;13.5253
730;21;13.5253
730;20;13.5253
730;19;13.5253
730;18;13.5253
730;17;13.5253
730;16;13.5253
730;15;13.5253
730;14;13.5253
730;13;13.5253
730;12;13.5253
740;23;13.7106
740;22;13.7106
740;21;13.7106
740;20;13.7106
740;19;13.7106
740;18;13.7106
740;17;13.7106
740;16;13.7106
740;15;13.7106
740;14;13.7106
740;13;13.7106
740;12;13.7106
750;23;13.8958
750;22;13.8958
750;21;13.8958
750;20;13.8958
750;19;13.8958
750;18;13.8958
750;17;13.8958
750;16;13.8958
750;15;13.8958
750;14;13.8958
750;13;13.8958
750;12;13.8958
760;23;14.0811
760;22;14.0811
760;21;14.0811
760;20;14.0811
760;19;14.0811
760;18;14.0811
760;17;14.0811
760;16;14.0811
760;15;14.0811
760;14;14.0811
760;13;14.0811
760;12;14.0811
770;23;14.2664
770;22;14.2664
770;21;14.2664
770;20;14.2664
770;19;14.2664
770;18;14.2664
770;17;14.2664
770;16;14.2664
770;15;14.2664
770;14;14.2664
770;13;14.2664
770;12;14.2664
780;23;14.4517
780;22;14.4517
780;21;14.4517
780;20;14.4517
780;19;14.4517
780;18;14.4517
780;17;14.4517
780;16;14.4517
780;15;14.4517
780;14;14.4517
780;13;14.4517
780;12;14.4517
790;23;14.6369
790;22;14.6369
790;21;14.6369
790;20;14.6369
790;19;14.6369
790;18;14.6369
790;17;14.6369
790;16;14.6369
790;15;14.6369
790;14;14.6369
790;13;14.6369
790;12;14.6369
800;23;14.8222
800;22;14.8222
800;21;14.8222
800;20;14.8222
800;19;14.8222
800;18;14.8222
800;17;14.8222
800;16;14.8222
800;15;14.8222
800;14;14.8222
800;13;14.8222
800;12;14.8222
810;23;15.0075
810;22;15.0075
810;21;15.0075
810;20;15.0075
810;19;15.0075
810;18;15.0075
810;17;15.0075
810;16;15.0075
810;15;15.0075
810;14;15.0075
810;13;15.0075
810;12;15.0075
820;23;15.1928
820;22;15.1928
820;21;15.1928
820;20;15.1928
820;19;15.1928
820;18;15.1928
820;17;15.1928
820;16;15.1928
820;15;15.1928
820;14;15.1928
820;13;15.1928
820;12;15.1928
830;23;15.3781
830;22;15.3781
830;21;15.3781
830;20;15.3781
830;19;15.3781
830;18;15.3781
830;17;15.3781
830;16;15.3781
830;15;15.3781
830;14;15.3781
830;13;15.3781
830;12;15.3781
840;23;15.5633
840;22;15.5633
840;21;15.5633
840;20;15.5633
840;19;15.5633
840;18;15.5633
840;17;15.5633
840;16;15.5633
840;15;15.5633
840;14;15.5633
840;13;15.5633
840;12;15.5633
850;23;15.7486
850;22;15.7486
850;21;15.7486
850;20;15.7486
850;19;15.7486
850;18;15.7486
850;17;15.7486
850;16;15.7486
850;15;15.7486
850;14;15.7486
850;13;15.7486
850;12;15.7486
860;23;15.9339
860;22;15.9339
860;21;15.9339
860;20;15.9339
860;19;15.9339
860;18;15.9339
860;17;15.9339
860;16;15.9339
860;15;15.9339
860;14;15.9339
860;13;15.9339
860;12;15.9339
870;23;16.1192
870;22;16.1192
870;21;16.1192
870;20;16.1192
870;19;16.1192
870;18;16.1192
870;17;16.1192
870;16;16.1192
870;15;16.1192
870;14;16.1192
870;13;16.1192
870;12;16.1192
880;23;16.3044
880;22;16.3044
880;21;16.3044
880;20;16.3044
880;19;16.3044
880;18;16.3044
880;17;16.3044
880;16;16.3044
880;15;16.3044
880;14;16.3044
880;13;16.3044
880;12;16.3044
890;23;16.4897
890;22;16.4897
890;21;16.4897
890;20;16.4897
890;19;16.4897
890;18;16.4897
890;17;16.4897
890;16;16.4897
890;15;16.4897
890;14;16.4897
890;13;16.4897
890;12;16.4897
900;23;16.6750
900;22;16.6750
900;21;16.6750
900;20;16.6750
900;19;16.6750
900;18;16.6750
900;17;16.6750
900;16;16.6750
900;15;16.6750
900;14;16.6750
900;13;16.6750
900;12;16.6750
910;23;16.8603
910;22;16.8603
910;21;16.8603
910;20;16.8603
910;19;16.8603
910;18;16.8603
910;17;16.8603
910;16;16.8603
910;15;16.8603
910;14;16.8603
910;13;16.8603
910;12;16.8603
920;23;17.0456
920;22;17.0456
920;21;17.0456
920;20;17.0456
920;19;17.0456
920;18;17.0456
920;17;17.0456
920;16;17.0456
920;15;17.0456
920;14;17.0456
920;13;17.0456
920;12;17.0456
930;23;17.2308
930;22;17.2308
930;21;17.2308
930;20;17.2308
930;19;17.2308
930;18;17.2308
930;17;17.2308
930;16;17.2308
930;15;17.2308
930;14;17.2308
930;13;17.2308
930;12;17.2308
940;23;17.4161
940;22;17.4161
940;21;17.4161
940;20;17.4161
940;19;17.4161
940;18;17.4161
940;17;17.4161
940;16;17.4161
940;15;17.4161
940;14;17.4161
940;13;17.4161
940;12;17.4161
950;23;17.6014
950;22;17.6014
950;21;17.6014
950;20;17.6014
950;19;17.6014
950;18;17.6014
950;17;17.6014
950;16;17.6014
950;15;17.6014
950;14;17.6014
950;13;17.6014
950;12;17.6014
960;23;17.7867
960;22;17.7867
960;21;17.7867
960;20;17.7867
960;19;17.7867
960;18;17.7867
960;17;17.7867
960;16;17.7867
960;15;17.7867
960;14;17.7867
960;13;17.7867
960;12;17.7867
970;23;17.9719
970;22;17.9719
970;21;17.9719
970;20;17.9719
970;19;17.9719
970;18;17.9719
970;17;17.9719
970;16;17.9719
970;15;17.9719
970;14;17.9719
970;13;17.9719
970;12;17.9719
980;23;17.9719
980;22;17.9719
980;21;17.9719
980;20;17.9719
980;19;17.9719
980;18;17.9719
980;17;17.9719
980;16;17.9719
980;15;17.9719
980;14;17.9719
980;13;17.9719
980;12;17.9719
990;23;18.2313
990;22;18.2313
990;21;18.2313
990;20;18.2313
990;19;18.2313
990;18;18.2313
990;17;18.2313
990;16;18.2313
990;15;18.2313
990;14;18.2313
990;13;18.2313
990;12;18.2313
1000;23;18.4166
1000;22;18.4166
1000;21;18.4166
1000;20;18.4166
1000;19;18.4166
1000;18;18.4166
1000;17;18.4166
1000;16;18.4166
1000;15;18.4166
1000;14;18.4166
1000;13;18.4166
1000;12;18.4166
1010;23;18.6019
1010;22;18.6019
1010;21;18.6019
1010;20;18.6019
1010;19;18.6019
1010;18;18.6019
1010;17;18.6019
1010;16;18.6019
1010;15;18.6019
1010;14;18.6019
1010;13;18.6019
1010;12;18.6019
1020;23;18.7872
1020;22;18.7872
1020;21;18.7872
1020;20;18.7872
1020;19;18.7872
1020;18;18.7872
1020;17;18.7872
1020;16;18.7872
1020;15;18.7872
1020;14;18.7872
1020;13;18.7872
1020;12;18.7872
1030;23;18.9725
1030;22;18.9725
1030;21;18.9725
1030;20;18.9725
1030;19;18.9725
1030;18;18.9725
1030;17;18.9725
1030;16;18.9725
1030;15;18.9725
1030;14;18.9725
1030;13;18.9725
1030;12;18.9725
1040;23;19.1577
1040;22;19.1577
1040;21;19.1577
1040;20;19.1577
1040;19;19.1577
1040;18;19.1577
1040;17;19.1577
1040;16;19.1577
1040;15;19.1577
1040;14;19.1577
1040;13;19.1577
1040;12;19.1577
1050;23;19.3430
1050;22;19.3430
1050;21;19.3430
1050;20;19.3430
1050;19;19.3430
1050;18;19.3430
1050;17;19.3430
1050;16;19.3430
1050;15;19.3430
