# units: time(s); hostId; energy(Wh)
1620;5;0.0699
1620;4;0.0697
1620;3;0.0695
1620;2;0.0696
1620;1;0.0695
1620;0;0.0695
1630;5;0.0699
1630;4;0.0697
1630;3;0.0695
1630;2;0.0696
1630;1;0.0695
1630;0;0.0695
1640;5;0.0699
1640;4;0.0697
1640;3;0.0695
1640;2;0.0696
1640;1;0.0695
1640;0;0.0695
1650;5;0.0699
1650;4;0.0697
1650;3;0.0695
1650;2;0.0696
1650;1;0.0695
1650;0;0.0695
1660;5;0.0699
1660;4;0.0697
1660;3;0.0695
1660;2;0.0696
1660;1;0.0695
1660;0;0.0695
1670;5;0.0699
1670;4;0.0697
1670;3;0.0695
1670;2;0.0696
1670;1;0.0695
1670;0;0.0695
1680;5;0.0699
1680;4;0.0697
1680;3;0.0695
1680;2;0.0696
1680;1;0.0695
1680;0;0.0695
1690;5;0.0699
1690;4;0.0697
1690;3;0.0695
1690;2;0.0696
1690;1;0.0695
1690;0;0.0695
1700;5;0.0699
1700;4;0.0697
1700;3;0.0695
1700;2;0.0696
1700;1;0.0695
1700;0;0.0695
1710;5;0.0699
1710;4;0.0697
1710;3;0.0695
1710;2;0.0696
1710;1;0.0695
1710;0;0.0695
1720;5;0.0699
1720;4;0.0697
1720;3;0.0695
1720;2;0.0696
1720;1;0.0695
1720;0;0.0695
1730;5;0.0699
1730;4;0.0697
1730;3;0.0695
1730;2;0.0696
1730;1;0.0695
1730;0;0.0695
1740;5;0.0699
1740;4;0.0697
1740;3;0.0695
1740;2;0.0696
1740;1;0.0695
1740;0;0.0695
1750;5;0.0699
1750;4;0.0697
1750;3;0.0695
1750;2;0.0696
1750;1;0.0695
1750;0;0.0695
1760;5;0.0699
1760;4;0.0697
1760;3;0.0695
1760;2;0.0696
1760;1;0.0695
1760;0;0.0695
1770;5;0.0699
1770;4;0.0697
1770;3;0.0695
1770;2;0.0696
1770;1;0.0695
1770;0;0.0695
1780;5;0.0699
1780;4;0.0697
1780;3;0.0695
1780;2;0.0696
1780;1;0.0695
1780;0;0.0695
1790;5;0.0699
1790;4;0.0697
1790;3;0.0695
1790;2;0.0696
1790;1;0.0695
1790;0;0.0695
1800;5;0.0699
1800;4;0.0697
1800;3;0.0695
1800;2;0.0696
1800;1;0.0695
1800;0;0.0695
1810;5;0.0699
1810;4;0.0697
1810;3;0.0695
1810;2;0.0696
1810;1;0.0695
1810;0;0.0695
1820;5;0.0699
1820;4;0.0697
1820;3;0.0695
1820;2;0.0696
1820;1;0.0695
1820;0;0.0695
1830;5;0.0699
1830;4;0.0697
1830;3;0.0695
1830;2;0.0696
1830;1;0.0695
1830;0;0.0695
1840;5;0.0699
1840;4;0.0697
1840;3;0.0695
1840;2;0.0696
1840;1;0.0695
1840;0;0.0695
1850;5;0.0699
1850;4;0.0697
1850;3;0.0695
1850;2;0.0696
1850;1;0.0695
1850;0;0.0695
1860;5;0.0699
1860;4;0.0697
1860;3;0.0695
1860;2;0.0696
1860;1;0.0695
1860;0;0.0695
1870;5;0.0699
1870;4;0.0697
1870;3;0.0695
1870;2;0.0696
1870;1;0.0695
1870;0;0.0695
1880;5;0.0699
1880;4;0.0697
1880;3;0.0695
1880;2;0.0696
1880;1;0.0695
1880;0;0.0695
1890;5;0.0699
1890;4;0.0697
1890;3;0.0695
1890;2;0.0696
1890;1;0.0695
1890;0;0.0695
1900;5;0.0699
1900;4;0.0697
1900;3;0.0695
1900;2;0.0696
1900;1;0.0695
1900;0;0.0695
1910;5;0.0699
1910;4;0.0697
1910;3;0.0695
1910;2;0.0696
1910;1;0.0695
1910;0;0.0695
1920;5;0.0699
1920;4;0.0697
1920;3;0.0695
1920;2;0.0696
1920;1;0.0695
1920;0;0.0695
1930;5;0.0699
1930;4;0.0697
1930;3;0.0695
1930;2;0.0696
1930;1;0.0695
1930;0;0.0695
1940;5;0.0699
1940;4;0.0697
1940;3;0.0695
1940;2;0.0696
1940;1;0.0695
1940;0;0.0695
1950;5;0.0699
1950;4;0.0697
1950;3;0.0695
1950;2;0.0696
1950;1;0.0695
1950;0;0.0695
1960;5;0.0699
1960;4;0.0697
1960;3;0.0695
1960;2;0.0696
1960;1;0.0695
1960;0;0.0695
1970;5;0.0699
1970;4;0.0697
1970;3;0.0695
1970;2;0.0696
1970;1;0.0695
1970;0;0.0695
1980;5;0.0699
1980;4;0.0697
1980;3;0.0695
1980;2;0.0696
1980;1;0.0695
1980;0;0.0695
1990;5;0.0699
1990;4;0.0697
1990;3;0.0695
1990;2;0.0696
1990;1;0.0695
1990;0;0.0695
2000;5;0.0699
2000;4;0.0697
2000;3;0.0695
2000;2;0.0696
2000;1;0.0695
2000;0;0.0695
2010;5;0.0699
2010;4;0.0697
2010;3;0.0695
2010;2;0.0696
2010;1;0.0695
2010;0;0.0695
2020;5;0.0699
2020;4;0.0697
2020;3;0.0695
2020;2;0.0696
2020;1;0.0695
2020;0;0.0695
2030;5;0.0699
2030;4;0.0697
2030;3;0.0695
2030;2;0.0696
2030;1;0.0695
2030;0;0.0695
2040;5;0.0699
2040;4;0.0697
2040;3;0.0695
2040;2;0.0696
2040;1;0.0695
2040;0;0.0695
2050;5;0.0699
2050;4;0.0697
2050;3;0.0695
2050;2;0.0696
2050;1;0.0695
2050;0;0.0695
2060;5;0.0699
2060;4;0.0697
2060;3;0.0695
2060;2;0.0696
2060;1;0.0695
2060;0;0.0695
2070;5;0.0699
2070;4;0.0697
2070;3;0.0695
2070;2;0.0696
2070;1;0.0695
2070;0;0.0695
2080;5;0.0699
2080;4;0.0697
2080;3;0.0695
2080;2;0.0696
2080;1;0.0695
2080;0;0.0695
2090;5;0.0699
2090;4;0.0697
2090;3;0.0695
2090;2;0.0696
2090;1;0.0695
2090;0;0.0695
2100;5;0.0699
2100;4;0.0697
2100;3;0.0695
2100;2;0.0696
2100;1;0.0695
2100;0;0.0695
2110;5;0.0699
2110;4;0.0697
2110;3;0.0695
2110;2;0.0696
2110;1;0.0695
2110;0;0.0695
2120;5;0.0699
2120;4;0.0697
2120;3;0.0695
2120;2;0.0696
2120;1;0.0695
2120;0;0.0695
2130;5;0.0699
2130;4;0.0697
2130;3;0.0695
2130;2;0.0696
2130;1;0.0695
2130;0;0.0695
2140;5;0.0699
2140;4;0.0697
2140;3;0.0695
2140;2;0.0696
2140;1;0.0695
2140;0;0.0695
2150;5;0.0699
2150;4;0.0697
2150;3;0.0695
2150;2;0.0696
2150;1;0.0695
2150;0;0.0695
2160;5;0.0699
2160;4;0.0697
2160;3;0.0695
2160;2;0.0696
2160;1;0.0695
2160;0;0.0695
2170;5;0.0699
2170;4;0.0697
2170;3;0.0695
2170;2;0.0696
2170;1;0.0695
2170;0;0.0695
2180;5;0.0699
2180;4;0.0697
2180;3;0.0695
2180;2;0.0696
2180;1;0.0695
2180;0;0.0695
2190;5;0.0699
2190;4;0.0697
2190;3;0.0695
2190;2;0.0696
2190;1;0.0695
2190;0;0.0695
2200;5;0.0699
2200;4;0.0697
2200;3;0.0695
2200;2;0.0696
2200;1;0.0695
2200;0;0.0695
2210;5;0.0699
2210;4;0.0697
2210;3;0.0695
2210;2;0.0696
2210;1;0.0695
2210;0;0.0695
2220;5;0.0699
2220;4;0.0697
2220;3;0.0695
2220;2;0.0696
2220;1;0.0695
2220;0;0.0695
2230;5;0.0699
2230;4;0.0697
2230;3;0.0695
2230;2;0.0696
2230;1;0.0695
2230;0;0.0695
2240;5;0.0699
2240;4;0.0697
2240;3;0.0695
2240;2;0.0696
2240;1;0.0695
2240;0;0.0695
2250;5;0.0699
2250;4;0.0697
2250;3;0.0695
2250;2;0.0696
2250;1;0.0695
2250;0;0.0695
2260;5;0.0699
2260;4;0.0697
2260;3;0.0695
2260;2;0.0696
2260;1;0.0695
2260;0;0.0695
2270;5;0.0699
2270;4;0.0697
2270;3;0.0695
2270;2;0.0696
2270;1;0.0695
2270;0;0.0695
2280;5;0.0699
2280;4;0.0697
2280;3;0.0695
2280;2;0.0696
2280;1;0.0695
2280;0;0.0695
2290;5;0.0699
2290;4;0.0697
2290;3;0.0695
2290;2;0.0696
2290;1;0.0695
2290;0;0.0695
2300;5;0.0699
2300;4;0.0697
2300;3;0.0695
2300;2;0.0696
2300;1;0.0695
2300;0;0.0695
2310;5;0.0699
2310;4;0.0697
2310;3;0.0695
2310;2;0.0696
2310;1;0.0695
2310;0;0.0695
2320;5;0.0699
2320;4;0.0697
2320;3;0.0695
2320;2;0.0696
2320;1;0.0695
2320;0;0.0695
2330;5;0.0699
2330;4;0.0697
2330;3;0.0695
2330;2;0.0696
2330;1;0.0695
2330;0;0.0695
2340;5;0.0699
2340;4;0.0697
2340;3;0.0695
2340;2;0.0696
2340;1;0.0695
2340;0;0.0695
2350;5;0.0699
2350;4;0.0697
2350;3;0.0695
2350;2;0.0696
2350;1;0.0695
2350;0;0.0695
2360;5;0.0699
2360;4;0.0697
2360;3;0.0695
2360;2;0.0696
2360;1;0.0695
2360;0;0.0695
2370;5;0.0699
2370;4;0.0697
2370;3;0.0695
2370;2;0.0696
2370;1;0.0695
2370;0;0.0695
2380;5;0.0699
2380;4;0.0697
2380;3;0.0695
2380;2;0.0696
2380;1;0.0695
2380;0;0.0695
2390;5;0.0699
2390;4;0.0697
2390;3;0.0695
2390;2;0.0696
2390;1;0.0695
2390;0;0.0695
2400;5;0.0699
2400;4;0.0697
2400;3;0.0695
2400;2;0.0696
2400;1;0.0695
2400;0;0.0695
2410;5;0.0699
2410;4;0.0697
2410;3;0.0695
2410;2;0.0696
2410;1;0.0695
2410;0;0.0695
2420;5;0.0699
2420;4;0.0697
2420;3;0.0695
2420;2;0.0696
2420;1;0.0695
