time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
190.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
190.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
190.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
190.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
190.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
190.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
190.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
200.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
200.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
200.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
200.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
200.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
200.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
200.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
200.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
200.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
200.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
200.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
200.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
210.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
210.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
210.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
210.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
210.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
210.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
210.08;5;6.25;12.5;10.0;0.3365;LFF;BLA;Priority
210.08;4;3.13;6.25;5.0;0.3363;LFF;BLA;Priority
210.08;3;0.78;3.13;4.0;0.3361;LFF;BLA;Priority
210.08;2;1.56;6.25;6.0;0.3362;LFF;BLA;Priority
210.08;1;0.78;3.13;2.0;0.3361;LFF;BLA;Priority
210.08;0;0.78;3.13;2.5;0.3361;LFF;BLA;Priority
220.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
220.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
220.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
220.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
220.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
220.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
220.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
220.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
220.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
220.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
220.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
220.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
230.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
230.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
230.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
230.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
