time;flowId;violationType;vm_policy;link_policy;wf_policy
100;64;SLA_VIOLATION;LFF;BLA;Priority
100;64;SLA_VIOLATION;LFF;BLA;Priority
100;64;SLA_VIOLATION;LFF;BLA;Priority
100;64;SLA_VIOLATION;LFF;BLA;Priority
100;64;SLA_VIOLATION;LFF;BLA;Priority
100;64;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;54;SLA_VIOLATION;LFF;BLA;Priority
100;96;SLA_VIOLATION;LFF;BLA;Priority
100;96;SLA_VIOLATION;LFF;BLA;Priority
100;96;SLA_VIOLATION;LFF;BLA;Priority
100;96;SLA_VIOLATION;LFF;BLA;Priority
110;68;SLA_VIOLATION;LFF;BLA;Priority
110;68;SLA_VIOLATION;LFF;BLA;Priority
110;88;SLA_VIOLATION;LFF;BLA;Priority
110;88;SLA_VIOLATION;LFF;BLA;Priority
110;41;SLA_VIOLATION;LFF;BLA;Priority
110;41;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;12;SLA_VIOLATION;LFF;BLA;Priority
110;48;SLA_VIOLATION;LFF;BLA;Priority
110;48;SLA_VIOLATION;LFF;BLA;Priority
110;48;SLA_VIOLATION;LFF;BLA;Priority
110;48;SLA_VIOLATION;LFF;BLA;Priority
110;67;SLA_VIOLATION;LFF;BLA;Priority
110;67;SLA_VIOLATION;LFF;BLA;Priority
110;67;SLA_VIOLATION;LFF;BLA;Priority
110;67;SLA_VIOLATION;LFF;BLA;Priority
110;87;SLA_VIOLATION;LFF;BLA;Priority
110;87;SLA_VIOLATION;LFF;BLA;Priority
110;87;SLA_VIOLATION;LFF;BLA;Priority
110;87;SLA_VIOLATION;LFF;BLA;Priority
110;76;SLA_VIOLATION;LFF;BLA;Priority
110;76;SLA_VIOLATION;LFF;BLA;Priority
110;76;SLA_VIOLATION;LFF;BLA;Priority
110;76;SLA_VIOLATION;LFF;BLA;Priority
110;79;SLA_VIOLATION;LFF;BLA;Priority
110;79;SLA_VIOLATION;LFF;BLA;Priority
110;79;SLA_VIOLATION;LFF;BLA;Priority
110;79;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;88;SLA_VIOLATION;LFF;BLA;Priority
120;62;SLA_VIOLATION;LFF;BLA;Priority
120;62;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;87;SLA_VIOLATION;LFF;BLA;Priority
120;98;SLA_VIOLATION;LFF;BLA;Priority
120;98;SLA_VIOLATION;LFF;BLA;Priority
120;58;SLA_VIOLATION;LFF;BLA;Priority
120;58;SLA_VIOLATION;LFF;BLA;Priority
120;58;SLA_VIOLATION;LFF;BLA;Priority
120;58;SLA_VIOLATION;LFF;BLA;Priority
120;94;SLA_VIOLATION;LFF;BLA;Priority
120;94;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
120;79;SLA_VIOLATION;LFF;BLA;Priority
