time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
390;4;3.125;6.25;5.0;12.6783;LFF;BLA;Priority
390;3;0.7813;3.125;4.0;12.6727;LFF;BLA;Priority
390;2;1.5625;6.25;6.0;12.6758;LFF;BLA;Priority
390;1;0.7813;3.125;2.0;12.6725;LFF;BLA;Priority
390;0;0.7813;3.125;2.5;12.6725;LFF;BLA;Priority
400;5;6.25;12.5;10.0;13.021;LFF;BLA;Priority
400;4;3.125;6.25;5.0;13.0118;LFF;BLA;Priority
400;3;0.7813;3.125;4.0;13.0061;LFF;BLA;Priority
400;2;1.5625;6.25;6.0;13.0093;LFF;BLA;Priority
400;1;0.7813;3.125;2.0;13.0059;LFF;BLA;Priority
400;0;0.7813;3.125;2.5;13.006;LFF;BLA;Priority
410;5;6.25;12.5;10.0;13.3548;LFF;BLA;Priority
410;4;3.125;6.25;5.0;13.3454;LFF;BLA;Priority
410;3;0.7813;3.125;4.0;13.3395;LFF;BLA;Priority
410;2;1.5625;6.25;6.0;13.3428;LFF;BLA;Priority
410;1;0.7813;3.125;2.0;13.3393;LFF;BLA;Priority
410;0;0.7813;3.125;2.5;13.3394;LFF;BLA;Priority
420;5;6.25;12.5;10.0;13.6886;LFF;BLA;Priority
420;4;3.125;6.25;5.0;13.679;LFF;BLA;Priority
420;3;0.7813;3.125;4.0;13.673;LFF;BLA;Priority
420;2;1.5625;6.25;6.0;13.6763;LFF;BLA;Priority
420;1;0.7813;3.125;2.0;13.6727;LFF;BLA;Priority
420;0;0.7813;3.125;2.5;13.6728;LFF;BLA;Priority
430;5;6.25;12.5;10.0;14.0224;LFF;BLA;Priority
430;4;3.125;6.25;5.0;14.0125;LFF;BLA;Priority
430;3;0.7813;3.125;4.0;14.0064;LFF;BLA;Priority
430;2;1.5625;6.25;6.0;14.0098;LFF;BLA;Priority
430;1;0.7813;3.125;2.0;14.0062;LFF;BLA;Priority
430;0;0.7813;3.125;2.5;14.0062;LFF;BLA;Priority
440;5;6.25;12.5;10.0;14.3562;LFF;BLA;Priority
440;4;3.125;6.25;5.0;14.3461;LFF;BLA;Priority
440;3;0.7813;3.125;4.0;14.3398;LFF;BLA;Priority
440;2;1.5625;6.25;6.0;14.3433;LFF;BLA;Priority
440;1;0.7813;3.125;2.0;14.3396;LFF;BLA;Priority
440;0;0.7813;3.125;2.5;14.3396;LFF;BLA;Priority
450;5;6.25;12.5;10.0;14.69;LFF;BLA;Priority
450;4;3.125;6.25;5.0;14.6797;LFF;BLA;Priority
450;3;0.7813;3.125;4.0;14.6732;LFF;BLA;Priority
450;2;1.5625;6.25;6.0;14.6769;LFF;BLA;Priority
450;1;0.7813;3.125;2.0;14.673;LFF;BLA;Priority
450;0;0.7813;3.125;2.5;14.673;LFF;BLA;Priority
460;5;6.25;12.5;10.0;15.0238;LFF;BLA;Priority
460;4;3.125;6.25;5.0;15.0132;LFF;BLA;Priority
460;3;0.7813;3.125;4.0;15.0066;LFF;BLA;Priority
460;2;1.5625;6.25;6.0;15.0104;LFF;BLA;Priority
460;1;0.7813;3.125;2.0;15.0064;LFF;BLA;Priority
460;0;0.7813;3.125;2.5;15.0065;LFF;BLA;Priority
470;5;6.25;12.5;10.0;15.3576;LFF;BLA;Priority
470;4;3.125;6.25;5.0;15.3468;LFF;BLA;Priority
470;3;0.7813;3.125;4.0;15.3401;LFF;BLA;Priority
470;2;1.5625;6.25;6.0;15.3439;LFF;BLA;Priority
470;1;0.7813;3.125;2.0;15.3398;LFF;BLA;Priority
470;0;0.7813;3.125;2.5;15.3399;LFF;BLA;Priority
480;5;6.25;12.5;10.0;15.6914;LFF;BLA;Priority
480;4;3.125;6.25;5.0;15.6804;LFF;BLA;Priority
480;3;0.7813;3.125;4.0;15.6735;LFF;BLA;Priority
480;2;1.5625;6.25;6.0;15.6774;LFF;BLA;Priority
480;1;0.7813;3.125;2.0;15.6732;LFF;BLA;Priority
480;0;0.7813;3.125;2.5;15.6733;LFF;BLA;Priority
490;5;6.25;12.5;10.0;16.0252;LFF;BLA;Priority
490;4;3.125;6.25;5.0;16.0139;LFF;BLA;Priority
490;3;0.7813;3.125;4.0;16.0069;LFF;BLA;Priority
490;2;1.5625;6.25;6.0;16.0109;LFF;BLA;Priority
490;1;0.7813;3.125;2.0;16.0066;LFF;BLA;Priority
490;0;0.7813;3.125;2.5;16.0067;LFF;BLA;Priority
500;5;6.25;12.5;10.0;16.359;LFF;BLA;Priority
500;4;3.125;6.25;5.0;16.3475;LFF;BLA;Priority
500;3;0.7813;3.125;4.0;16.3403;LFF;BLA;Priority
500;2;1.5625;6.25;6.0;16.3444;LFF;BLA;Priority
500;1;0.7813;3.125;2.0;16.3401;LFF;BLA;Priority
500;0;0.7813;3.125;2.5;16.3401;LFF;BLA;Priority
510;5;6.25;12.5;10.0;16.6928;LFF;BLA;Priority
510;4;3.125;6.25;5.0;16.6811;LFF;BLA;Priority
510;3;0.7813;3.125;4.0;16.6738;LFF;BLA;Priority
510;2;1.5625;6.25;6.0;16.6779;LFF;BLA;Priority
510;1;0.7813;3.125;2.0;16.6735;LFF;BLA;Priority
510;0;0.7813;3.125;2.5;16.6735;LFF;BLA;Priority
520;5;6.25;12.5;10.0;17.0266;LFF;BLA;Priority
520;4;3.125;6.25;5.0;17.0146;LFF;BLA;Priority
520;3;0.7813;3.125;4.0;17.0072;LFF;BLA;Priority
520;2;1.5625;6.25;6.0;17.0114;LFF;BLA;Priority
520;1;0.7813;3.125;2.0;17.0069;LFF;BLA;Priority
520;0;0.7813;3.125;2.5;17.007;LFF;BLA;Priority
530;5;6.25;12.5;10.0;17.3604;LFF;BLA;Priority
530;4;3.125;6.25;5.0;17.3482;LFF;BLA;Priority
530;3;0.7813;3.125;4.0;17.3406;LFF;BLA;Priority
530;2;1.5625;6.25;6.0;17.3449;LFF;BLA;Priority
530;1;0.7813;3.125;2.0;17.3403;LFF;BLA;Priority
530;0;0.7813;3.125;2.5;17.3404;LFF;BLA;Priority
540;5;6.25;12.5;10.0;17.6942;LFF;BLA;Priority
540;4;3.125;6.25;5.0;17.6818;LFF;BLA;Priority
540;3;0.7813;3.125;4.0;17.674;LFF;BLA;Priority
540;2;1.5625;6.25;6.0;17.6784;LFF;BLA;Priority
540;1;0.7813;3.125;2.0;17.6737;LFF;BLA;Priority
540;0;0.7813;3.125;2.5;17.6738;LFF;BLA;Priority
550;5;6.25;12.5;10.0;18.028;LFF;BLA;Priority
550;4;3.125;6.25;5.0;18.0153;LFF;BLA;Priority
550;3;0.7813;3.125;4.0;18.0074;LFF;BLA;Priority
550;2;1.5625;6.25;6.0;18.0119;LFF;BLA;Priority
550;1;0.7813;3.125;2.0;18.0071;LFF;BLA;Priority
550;0;0.7813;3.125;2.5;18.0072;LFF;BLA;Priority
560;5;6.25;12.5;10.0;18.3618;LFF;BLA;Priority
560;4;3.125;6.25;5.0;18.3489;LFF;BLA;Priority
560;3;0.7813;3.125;4.0;18.3409;LFF;BLA;Priority
560;2;1.5625;6.25;6.0;18.3454;LFF;BLA;Priority
560;1;0.7813;3.125;2.0;18.3406;LFF;BLA;Priority
560;0;0.7813;3.125;2.5;18.3406;LFF;BLA;Priority
570;5;6.25;12.5;10.0;18.6956;LFF;BLA;Priority
570;4;3.125;6.25;5.0;18.6825;LFF;BLA;Priority
570;3;0.7813;3.125;4.0;18.6743;LFF;BLA;Priority
570;2;1.5625;6.25;6.0;18.6789;LFF;BLA;Priority
570;1;0.7813;3.125;2.0;18.674;LFF;BLA;Priority
570;0;0.7813;3.125;2.5;18.674;LFF;BLA;Priority
580;5;6.25;12.5;10.0;19.0294;LFF;BLA;Priority
580;4;3.125;6.25;5.0;19.0161;LFF;BLA;Priority
580;3;0.7813;3.125;4.0;19.0077;LFF;BLA;Priority
580;2;1.5625;6.25;6.0;19.0124;LFF;BLA;Priority
580;1;0.7813;3.125;2.0;19.0074;LFF;BLA;Priority
580;0;0.7813;3.125;2.5;19.0075;LFF;BLA;Priority
590;5;6.25;12.5;10.0;19.3632;LFF;BLA;Priority
590;4;3.125;6.25;5.0;19.3496;LFF;BLA;Priority
590;3;0.7813;3.125;4.0;19.3411;LFF;BLA;Priority
590;2;1.5625;6.25;6.0;19.3459;LFF;BLA;Priority
590;1;0.7813;3.125;2.0;19.3408;LFF;BLA;Priority
590;0;0.7813;3.125;2.5;19.3409;LFF;BLA;Priority
600;5;6.25;12.5;10.0;19.697;LFF;BLA;Priority
600;4;3.125;6.25;5.0;19.6832;LFF;BLA;Priority
600;3;0.7813;3.125;4.0;19.6745;LFF;BLA;Priority
600;2;1.5625;6.25;6.0;19.6794;LFF;BLA;Priority
600;1;0.7813;3.125;2.0;19.6742;LFF;BLA;Priority
600;0;0.7813;3.125;2.5;19.6743;LFF;BLA;Priority
610;5;6.25;12.5;10.0;20.0308;LFF;BLA;Priority
610;4;3.125;6.25;5.0;20.0168;LFF;BLA;Priority
610;3;0.7813;3.125;4.0;20.008;LFF;BLA;Priority
610;2;1.5625;6.25;6.0;20.0129;LFF;BLA;Priority
610;1;0.7813;3.125;2.0;20.0076;LFF;BLA;Priority
610;0;0.7813;3.125;2.5;20.0077;LFF;BLA;Priority
620;5;6.25;12.5;10.0;20.3646;LFF;BLA;Priority
620;4;3.125;6.25;5.0;20.3503;LFF;BLA;Priority
620;3;0.7813;3.125;4.0;20.3414;LFF;BLA;Priority
620;2;1.5625;6.25;6.0;20.3464;LFF;BLA;Priority
620;1;0.7813;3.125;2.0;20.341;LFF;BLA;Priority
620;0;0.7813;3.125;2.5;20.3411;LFF;BLA;Priority
630;5;6.25;12.5;10.0;20.6984;LFF;BLA;Priority
630;4;3.125;6.25;5.0;20.6839;LFF;BLA;Priority
630;3;0.7813;3.125;4.0;20.6748;LFF;BLA;Priority
630;2;1.5625;6.25;6.0;20.6799;LFF;BLA;Priority
630;1;0.7813;3.125;2.0;20.6745;LFF;BLA;Priority
630;0;0.7813;3.125;2.5;20.6746;LFF;BLA;Priority
640;5;6.25;12.5;10.0;21.0322;LFF;BLA;Priority
640;4;3.125;6.25;5.0;21.0175;LFF;BLA;Priority
640;3;0.7813;3.125;4.0;21.0082;LFF;BLA;Priority
640;2;1.5625;6.25;6.0;21.0134;LFF;BLA;Priority
640;1;0.7813;3.125;2.0;21.0079;LFF;BLA;Priority
640;0;0.7813;3.125;2.5;21.008;LFF;BLA;Priority
650;5;6.25;12.5;10.0;21.366;LFF;BLA;Priority
650;4;3.125;6.25;5.0;21.351;LFF;BLA;Priority
650;3;0.7813;3.125;4.0;21.3417;LFF;BLA;Priority
650;2;1.5625;6.25;6.0;21.3469;LFF;BLA;Priority
650;1;0.7813;3.125;2.0;21.3413;LFF;BLA;Priority
650;0;0.7813;3.125;2.5;21.3414;LFF;BLA;Priority
660;5;6.25;12.5;10.0;21.6998;LFF;BLA;Priority
660;4;3.125;6.25;5.0;21.6846;LFF;BLA;Priority
660;3;0.7813;3.125;4.0;21.6751;LFF;BLA;Priority
660;2;1.5625;6.25;6.0;21.6804;LFF;BLA;Priority
660;1;0.7813;3.125;2.0;21.6747;LFF;BLA;Priority
660;0;0.7813;3.125;2.5;21.6748;LFF;BLA;Priority
670;5;6.25;12.5;10.0;22.0336;LFF;BLA;Priority
670;4;3.125;6.25;5.0;22.0182;LFF;BLA;Priority
670;3;0.7813;3.125;4.0;22.0085;LFF;BLA;Priority
670;2;1.5625;6.25;6.0;22.0139;LFF;BLA;Priority
