# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
740;3;2.7344;7.8125;7.0000;20.6819
740;2;0.0000;0.0000;0.0000;0.0000
740;1;0.0000;0.0000;0.0000;0.0000
740;0;2.7344;7.8125;7.0000;20.6819
750;5;0.0000;0.0000;0.0000;0.0000
750;4;0.0000;0.0000;0.0000;0.0000
750;3;2.7344;7.8125;7.0000;20.6819
750;2;0.0000;0.0000;0.0000;0.0000
750;1;0.0000;0.0000;0.0000;0.0000
750;0;2.7344;7.8125;7.0000;20.6819
760;5;0.0000;0.0000;0.0000;0.0000
760;4;0.0000;0.0000;0.0000;0.0000
760;3;2.7344;7.8125;7.0000;20.6819
760;2;0.0000;0.0000;0.0000;0.0000
760;1;0.0000;0.0000;0.0000;0.0000
760;0;2.7344;7.8125;7.0000;20.6819
770;5;0.0000;0.0000;0.0000;0.0000
770;4;0.0000;0.0000;0.0000;0.0000
770;3;2.7344;7.8125;7.0000;20.6819
770;2;0.0000;0.0000;0.0000;0.0000
770;1;0.0000;0.0000;0.0000;0.0000
770;0;2.7344;7.8125;7.0000;20.6819
780;5;0.0000;0.0000;0.0000;0.0000
780;4;0.0000;0.0000;0.0000;0.0000
780;3;2.7344;7.8125;7.0000;20.6819
780;2;0.0000;0.0000;0.0000;0.0000
780;1;0.0000;0.0000;0.0000;0.0000
780;0;2.7344;7.8125;7.0000;20.6819
790;5;0.0000;0.0000;0.0000;0.0000
790;4;0.0000;0.0000;0.0000;0.0000
790;3;2.7344;7.8125;7.0000;20.6819
790;2;0.0000;0.0000;0.0000;0.0000
790;1;0.0000;0.0000;0.0000;0.0000
790;0;2.7344;7.8125;7.0000;20.6819
800;5;0.0000;0.0000;0.0000;0.0000
800;4;0.0000;0.0000;0.0000;0.0000
800;3;2.7344;7.8125;7.0000;20.6819
800;2;0.0000;0.0000;0.0000;0.0000
800;1;0.0000;0.0000;0.0000;0.0000
800;0;2.7344;7.8125;7.0000;20.6819
810;5;0.0000;0.0000;0.0000;0.0000
810;4;0.0000;0.0000;0.0000;0.0000
810;3;2.7344;7.8125;7.0000;20.6819
810;2;0.0000;0.0000;0.0000;0.0000
810;1;0.0000;0.0000;0.0000;0.0000
810;0;2.7344;7.8125;7.0000;20.6819
820;5;0.0000;0.0000;0.0000;0.0000
820;4;0.0000;0.0000;0.0000;0.0000
820;3;2.7344;7.8125;7.0000;27.0305
820;2;0.0000;0.0000;0.0000;0.0000
820;1;0.0000;0.0000;0.0000;0.0000
820;0;2.7344;7.8125;7.0000;27.0305
830;5;0.0000;0.0000;0.0000;0.0000
830;4;0.0000;0.0000;0.0000;0.0000
830;3;2.7344;7.8125;7.0000;27.3641
830;2;0.0000;0.0000;0.0000;0.0000
830;1;0.0000;0.0000;0.0000;0.0000
830;0;2.7344;7.8125;7.0000;27.3641
840;5;0.0000;0.0000;0.0000;0.0000
840;4;0.0000;0.0000;0.0000;0.0000
840;3;2.7344;7.8125;7.0000;27.6977
840;2;0.0000;0.0000;0.0000;0.0000
840;1;0.0000;0.0000;0.0000;0.0000
840;0;2.7344;7.8125;7.0000;27.6977
850;5;0.0000;0.0000;0.0000;0.0000
850;4;0.0000;0.0000;0.0000;0.0000
850;3;2.7344;7.8125;7.0000;28.0313
850;2;0.0000;0.0000;0.0000;0.0000
850;1;0.0000;0.0000;0.0000;0.0000
850;0;2.7344;7.8125;7.0000;28.0313
860;5;0.0000;0.0000;0.0000;0.0000
860;4;0.0000;0.0000;0.0000;0.0000
860;3;2.7344;7.8125;7.0000;28.3648
860;2;0.0000;0.0000;0.0000;0.0000
