# units: time(s); switchId; energy(watt)
1100;10;20.2012
1100;9;20.2012
1100;8;20.2012
1100;7;20.2012
1100;6;20.2012
1110;12;20.3865
1110;11;20.3865
1110;10;20.3865
1110;9;20.3865
1110;8;20.3865
1110;7;20.3865
1110;6;20.3865
1120;12;20.5718
1120;11;20.5718
1120;10;20.5718
1120;9;20.5718
1120;8;20.5718
1120;7;20.5718
1120;6;20.5718
1130;12;20.7571
1130;11;20.7571
1130;10;20.7571
1130;9;20.7571
1130;8;20.7571
1130;7;20.7571
1130;6;20.7571
1140;12;20.9423
1140;11;20.9423
1140;10;20.9423
1140;9;20.9423
1140;8;20.9423
1140;7;20.9423
1140;6;20.9423
1150;12;21.1276
1150;11;21.1276
1150;10;21.1276
1150;9;21.1276
1150;8;21.1276
1150;7;21.1276
1150;6;21.1276
1160;12;21.3129
1160;11;21.3129
1160;10;21.3129
1160;9;21.3129
1160;8;21.3129
1160;7;21.3129
1160;6;21.3129
1170;12;21.4982
1170;11;21.4982
1170;10;21.4982
1170;9;21.4982
1170;8;21.4982
1170;7;21.4982
1170;6;21.4982
1180;12;21.6834
1180;11;21.6834
1180;10;21.6834
1180;9;21.6834
1180;8;21.6834
1180;7;21.6834
1180;6;21.6834
1190;12;21.8687
1190;11;21.8687
1190;10;21.8687
1190;9;21.8687
1190;8;21.8687
1190;7;21.8687
1190;6;21.8687
1200;12;22.0540
1200;11;22.0540
1200;10;22.0540
1200;9;22.0540
1200;8;22.0540
1200;7;22.0540
1200;6;22.0540
1210;12;22.2393
1210;11;22.2393
1210;10;22.2393
1210;9;22.2393
1210;8;22.2393
1210;7;22.2393
1210;6;22.2393
1220;12;22.4246
1220;11;22.4246
1220;10;22.4246
1220;9;22.4246
1220;8;22.4246
1220;7;22.4246
1220;6;22.4246
1230;12;22.6098
1230;11;22.6098
1230;10;22.6098
1230;9;22.6098
1230;8;22.6098
1230;7;22.6098
1230;6;22.6098
1240;12;22.7951
1240;11;22.7951
1240;10;22.7951
1240;9;22.7951
1240;8;22.7951
1240;7;22.7951
1240;6;22.7951
1250;12;22.9804
1250;11;22.9804
1250;10;22.9804
1250;9;22.9804
1250;8;22.9804
1250;7;22.9804
1250;6;22.9804
1260;12;23.1657
1260;11;23.1657
1260;10;23.1657
1260;9;23.1657
1260;8;23.1657
1260;7;23.1657
1260;6;23.1657
1270;12;23.3509
1270;11;23.3509
1270;10;23.3509
1270;9;23.3509
1270;8;23.3509
1270;7;23.3509
1270;6;23.3509
1280;12;23.5362
1280;11;23.5362
1280;10;23.5362
1280;9;23.5362
1280;8;23.5362
1280;7;23.5362
1280;6;23.5362
1290;12;23.7215
1290;11;23.7215
1290;10;23.7215
1290;9;23.7215
1290;8;23.7215
1290;7;23.7215
1290;6;23.7215
1300;12;23.9068
1300;11;23.9068
1300;10;23.9068
1300;9;23.9068
1300;8;23.9068
1300;7;23.9068
1300;6;23.9068
1310;12;24.0921
1310;11;24.0921
1310;10;24.0921
1310;9;24.0921
1310;8;24.0921
1310;7;24.0921
1310;6;24.0921
1320;12;24.2773
1320;11;24.2773
1320;10;24.2773
1320;9;24.2773
1320;8;24.2773
1320;7;24.2773
1320;6;24.2773
1330;12;24.4626
1330;11;24.4626
1330;10;24.4626
1330;9;24.4626
1330;8;24.4626
1330;7;24.4626
1330;6;24.4626
1340;12;24.6479
1340;11;24.6479
1340;10;24.6479
1340;9;24.6479
1340;8;24.6479
1340;7;24.6479
1340;6;24.6479
1350;12;24.8332
1350;11;24.8332
1350;10;24.8332
1350;9;24.8332
1350;8;24.8332
1350;7;24.8332
1350;6;24.8332
1360;12;25.0184
1360;11;25.0184
1360;10;25.0184
1360;9;25.0184
1360;8;25.0184
1360;7;25.0184
1360;6;25.0184
1370;12;25.2037
1370;11;25.2037
