vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LWFF;BLA;Priority;120;7;2.2233
LWFF;BLA;Priority;120;6;2.2233
LWFF;BLA;Priority;120;5;2.2233
LWFF;BLA;Priority;120;4;2.2233
LWFF;BLA;Priority;130;7;2.4086
LWFF;BLA;Priority;130;6;2.4086
LWFF;BLA;Priority;130;5;2.4086
LWFF;BLA;Priority;130;4;2.4086
LWFF;BLA;Priority;140;7;2.5939
LWFF;BLA;Priority;140;6;2.5939
LWFF;BLA;Priority;140;5;2.5939
LWFF;BLA;Priority;140;4;2.5939
LWFF;BLA;Priority;150;7;2.5939
LWFF;BLA;Priority;150;6;2.5939
LWFF;BLA;Priority;150;5;2.5939
LWFF;BLA;Priority;150;4;2.5939
LWFF;BLA;Priority;160;7;2.5939
LWFF;BLA;Priority;160;6;2.5939
LWFF;BLA;Priority;160;5;2.5939
LWFF;BLA;Priority;160;4;2.5939
LWFF;BLA;PSO;10;7;0.1853
LWFF;BLA;PSO;10;6;0.1853
LWFF;BLA;PSO;10;5;0.1853
LWFF;BLA;PSO;10;4;0.1853
LWFF;BLA;PSO;20;7;0.3706
LWFF;BLA;PSO;20;6;0.3706
LWFF;BLA;PSO;20;5;0.3706
LWFF;BLA;PSO;20;4;0.3706
LWFF;BLA;PSO;30;7;0.5558
LWFF;BLA;PSO;30;6;0.5558
LWFF;BLA;PSO;30;5;0.5558
LWFF;BLA;PSO;30;4;0.5558
LWFF;BLA;PSO;40;7;0.7411
LWFF;BLA;PSO;40;6;0.7411
LWFF;BLA;PSO;40;5;0.7411
LWFF;BLA;PSO;40;4;0.7411
LWFF;BLA;PSO;50;7;0.9264
LWFF;BLA;PSO;50;6;0.9264
LWFF;BLA;PSO;50;5;0.9264
LWFF;BLA;PSO;50;4;0.9264
LWFF;BLA;PSO;60;7;1.1117
LWFF;BLA;PSO;60;6;1.1117
LWFF;BLA;PSO;60;5;1.1117
LWFF;BLA;PSO;60;4;1.1117
LWFF;BLA;PSO;70;7;1.2969
LWFF;BLA;PSO;70;6;1.2969
LWFF;BLA;PSO;70;5;1.2969
LWFF;BLA;PSO;70;4;1.2969
LWFF;BLA;PSO;80;7;1.4822
LWFF;BLA;PSO;80;6;1.4822
LWFF;BLA;PSO;80;5;1.4822
LWFF;BLA;PSO;80;4;1.4822
LWFF;BLA;PSO;90;7;1.6675
LWFF;BLA;PSO;90;6;1.6675
LWFF;BLA;PSO;90;5;1.6675
LWFF;BLA;PSO;90;4;1.6675
LWFF;BLA;PSO;100;7;1.8528
LWFF;BLA;PSO;100;6;1.8528
LWFF;BLA;PSO;100;5;1.8528
LWFF;BLA;PSO;100;4;1.8528
LWFF;BLA;PSO;110;7;2.0381
LWFF;BLA;PSO;110;6;2.0381
LWFF;BLA;PSO;110;5;2.0381
LWFF;BLA;PSO;110;4;2.0381
LWFF;BLA;PSO;120;7;2.2233
LWFF;BLA;PSO;120;6;2.2233
LWFF;BLA;PSO;120;5;2.2233
LWFF;BLA;PSO;120;4;2.2233
LWFF;BLA;PSO;130;7;2.4086
LWFF;BLA;PSO;130;6;2.4086
