# units: time(s); hostId; vmIds
0,00;h_11;0
0,00;h_10;0
0,00;h_9;7
0,00;h_8;0
0,00;h_7;0
0,00;h_6;4
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;5
700;0;9|11|0|18|17
710;11;
710;10;
710;9;8|1|15|19|6|2|3
710;8;
710;7;
710;6;7|10|12|4
710;5;
710;4;
710;3;14|5|13|16
710;2;
710;1;
710;0;9|11|0|18|17
720;11;
720;10;
720;9;8|1|15|19|6|2|3
720;8;
720;7;
720;6;7|10|12|4
720;5;
720;4;
720;3;14|5|13|16
720;2;
720;1;
720;0;9|11|0|18|17
730;11;
730;10;
730;9;8|1|15|19|6|2|3
730;8;
730;7;
730;6;7|10|12|4
730;5;
730;4;
730;3;14|5|13|16
730;2;
730;1;
730;0;9|11|0|18|17
740;11;
740;10;
740;9;8|1|15|19|6|2|3
740;8;
740;7;
740;6;7|10|12|4
740;5;
740;4;
740;3;14|5|13|16
740;2;
740;1;
740;0;9|11|0|18|17
750;11;
750;10;
750;9;8|1|15|19|6|2|3
750;8;
750;7;
750;6;7|10|12|4
750;5;
750;4;
750;3;14|5|13|16
750;2;
750;1;
750;0;9|11|0|18|17
760;11;
760;10;
760;9;8|1|15|19|6|2|3
760;8;
760;7;
760;6;7|10|12|4
760;5;
760;4;
760;3;14|5|13|16
760;2;
760;1;
760;0;9|11|0|18|17
770;11;
770;10;
770;9;8|1|15|19|6|2|3
770;8;
770;7;
770;6;7|10|12|4
770;5;
770;4;
770;3;14|5|13|16
770;2;
770;1;
770;0;9|11|0|18|17
780;11;
780;10;
780;9;8|1|15|19|6|2|3
780;8;
780;7;
780;6;7|10|12|4
780;5;
780;4;
780;3;14|5|13|16
780;2;
780;1;
780;0;9|11|0|18|17
790;11;
790;10;
790;9;8|1|15|19|6|2|3
790;8;
790;7;
790;6;7|10|12|4
790;5;
790;4;
790;3;14|5|13|16
790;2;
790;1;
790;0;9|11|0|18|17
800;11;
800;10;
800;9;8|1|15|19|6|2|3
800;8;
800;7;
800;6;7|10|12|4
800;5;
800;4;
800;3;14|5|13|16
800;2;
800;1;
800;0;9|11|0|18|17
810;11;
810;10;
810;9;8|1|15|19|6|2|3
810;8;
810;7;
810;6;7|10|12|4
810;5;
810;4;
810;3;14|5|13|16
810;2;
810;1;
810;0;9|11|0|18|17
820;11;
820;10;
820;9;8|1|15|19|6|2|3
820;8;
820;7;
820;6;7|10|12|4
820;5;
820;4;
820;3;14|5|13|16
820;2;
820;1;
820;0;9|11|0|18|17
830;11;
830;10;
830;9;8|1|15|19|6|2|3
830;8;
830;7;
830;6;7|10|12|4
830;5;
830;4;
830;3;14|5|13|16
830;2;
830;1;
830;0;9|11|0|18|17
840;11;
840;10;
840;9;8|1|15|19|6|2|3
840;8;
840;7;
840;6;7|10|12|4
840;5;
840;4;
840;3;14|5|13|16
840;2;
840;1;
840;0;9|11|0|18|17
850;11;
850;10;
850;9;8|1|15|19|6|2|3
850;8;
850;7;
850;6;7|10|12|4
850;5;
850;4;
850;3;14|5|13|16
850;2;
850;1;
850;0;9|11|0|18|17
860;11;
860;10;
860;9;8|1|15|19|6|2|3
860;8;
860;7;
860;6;7|10|12|4
860;5;
860;4;
860;3;14|5|13|16
860;2;
860;1;
860;0;9|11|0|18|17
870;11;
870;10;
870;9;8|1|15|19|6|2|3
870;8;
870;7;
870;6;7|10|12|4
870;5;
870;4;
870;3;14|5|13|16
870;2;
870;1;
870;0;9|11|0|18|17
880;11;
880;10;
880;9;8|1|15|19|6|2|3
880;8;
880;7;
880;6;7|10|12|4
880;5;
880;4;
880;3;14|5|13|16
880;2;
880;1;
880;0;9|11|0|18|17
890;11;
890;10;
890;9;8|1|15|19|6|2|3
890;8;
890;7;
890;6;7|10|12|4
890;5;
890;4;
890;3;14|5|13|16
890;2;
890;1;
890;0;9|11|0|18|17
900;11;
900;10;
900;9;8|1|15|19|6|2|3
900;8;
900;7;
900;6;7|10|12|4
900;5;
900;4;
900;3;14|5|13|16
900;2;
900;1;
900;0;9|11|0|18|17
910;11;
910;10;
910;9;8|1|15|19|6|2|3
910;8;
910;7;
910;6;7|10|12|4
910;5;
910;4;
910;3;14|5|13|16
910;2;
910;1;
910;0;9|11|0|18|17
920;11;
920;10;
920;9;8|1|15|19|6|2|3
920;8;
920;7;
920;6;7|10|12|4
920;5;
920;4;
920;3;14|5|13|16
920;2;
920;1;
920;0;9|11|0|18|17
930;11;
930;10;
930;9;8|1|15|19|6|2|3
930;8;
930;7;
930;6;7|10|12|4
930;5;
930;4;
930;3;14|5|13|16
930;2;
930;1;
930;0;9|11|0|18|17
940;11;
940;10;
940;9;8|1|15|19|6|2|3
940;8;
940;7;
940;6;7|10|12|4
940;5;
940;4;
940;3;14|5|13|16
940;2;
940;1;
940;0;9|11|0|18|17
950;11;
950;10;
950;9;8|1|15|19|6|2|3
950;8;
950;7;
950;6;7|10|12|4
950;5;
950;4;
950;3;14|5|13|16
950;2;
950;1;
950;0;9|11|0|18|17
960;11;
960;10;
960;9;8|1|15|19|6|2|3
960;8;
960;7;
960;6;7|10|12|4
960;5;
960;4;
960;3;14|5|13|16
960;2;
960;1;
960;0;9|11|0|18|17
970;11;
970;10;
970;9;8|1|15|19|6|2|3
970;8;
970;7;
970;6;7|10|12|4
970;5;
970;4;
970;3;14|5|13|16
970;2;
970;1;
970;0;9|11|0|18|17
980;11;
980;10;
980;9;8|1|15|19|6|2|3
980;8;
980;7;
980;6;7|10|12|4
980;5;
980;4;
980;3;14|5|13|16
980;2;
980;1;
980;0;9|11|0|18|17
990;11;
990;10;
990;9;8|1|15|19|6|2|3
990;8;
990;7;
990;6;7|10|12|4
990;5;
990;4;
990;3;14|5|13|16
990;2;
990;1;
990;0;9|11|0|18|17
1000;11;
1000;10;
1000;9;8|1|15|19|6|2|3
1000;8;
1000;7;
1000;6;7|10|12|4
1000;5;
1000;4;
1000;3;14|5|13|16
1000;2;
1000;1;
1000;0;9|11|0|18|17
1010;11;
1010;10;
1010;9;8|1|15|19|6|2|3
1010;8;
1010;7;
1010;6;7|10|12|4
1010;5;
1010;4;
1010;3;14|5|13|16
1010;2;
1010;1;
1010;0;9|11|0|18|17
1020;11;
1020;10;
1020;9;8|1|15|19|6|2|3
1020;8;
1020;7;
1020;6;7|10|12|4
1020;5;
1020;4;
1020;3;14|5|13|16
1020;2;
1020;1;
1020;0;9|11|0|18|17
1030;11;
1030;10;
1030;9;8|1|15|19|6|2|3
1030;8;
1030;7;
1030;6;7|10|12|4
1030;5;
1030;4;
1030;3;14|5|13|16
1030;2;
1030;1;
1030;0;9|11|0|18|17
1040;11;
1040;10;
1040;9;8|1|15|19|6|2|3
1040;8;
1040;7;
1040;6;7|10|12|4
1040;5;
1040;4;
1040;3;14|5|13|16
1040;2;
1040;1;
1040;0;9|11|0|18|17
1050;11;
1050;10;
1050;9;8|1|15|19|6|2|3
1050;8;
1050;7;
1050;6;7|10|12|4
1050;5;
1050;4;
1050;3;14|5|13|16
1050;2;
1050;1;
1050;0;9|11|0|18|17
1060;11;
1060;10;
1060;9;8|1|15|19|6|2|3
1060;8;
1060;7;
1060;6;7|10|12|4
1060;5;
1060;4;
1060;3;14|5|13|16
1060;2;
1060;1;
1060;0;9|11|0|18|17
1070;11;
1070;10;
1070;9;8|1|15|19|6|2|3
1070;8;
1070;7;
1070;6;7|10|12|4
1070;5;
1070;4;
1070;3;14|5|13|16
1070;2;
1070;1;
1070;0;9|11|0|18|17
1080;11;
1080;10;
1080;9;8|1|15|19|6|2|3
1080;8;
1080;7;
1080;6;7|10|12|4
1080;5;
1080;4;
1080;3;14|5|13|16
1080;2;
1080;1;
1080;0;9|11|0|18|17
1090;11;
1090;10;
1090;9;8|1|15|19|6|2|3
1090;8;
1090;7;
1090;6;7|10|12|4
1090;5;
1090;4;
1090;3;14|5|13|16
1090;2;
1090;1;
1090;0;9|11|0|18|17
1100;11;
1100;10;
1100;9;8|1|15|19|6|2|3
1100;8;
1100;7;
1100;6;7|10|12|4
1100;5;
1100;4;
1100;3;14|5|13|16
1100;2;
1100;1;
1100;0;9|11|0|18|17
1110;11;
1110;10;
1110;9;8|1|15|19|6|2|3
1110;8;
1110;7;
1110;6;7|10|12|4
1110;5;
1110;4;
1110;3;14|5|13|16
1110;2;
1110;1;
1110;0;9|11|0|18|17
1120;11;
1120;10;
1120;9;8|1|15|19|6|2|3
1120;8;
1120;7;
1120;6;7|10|12|4
1120;5;
1120;4;
1120;3;14|5|13|16
1120;2;
1120;1;
1120;0;9|11|0|18|17
1130;11;
1130;10;
1130;9;8|1|15|19|6|2|3
1130;8;
1130;7;
1130;6;7|10|12|4
1130;5;
1130;4;
1130;3;14|5|13|16
1130;2;
1130;1;
1130;0;9|11|0|18|17
1140;11;
1140;10;
1140;9;8|1|15|19|6|2|3
1140;8;
1140;7;
1140;6;7|10|12|4
1140;5;
1140;4;
1140;3;14|5|13|16
1140;2;
1140;1;
1140;0;9|11|0|18|17
1150;11;
1150;10;
1150;9;8|1|15|19|6|2|3
1150;8;
1150;7;
1150;6;7|10|12|4
1150;5;
1150;4;
