# units: time(s); hostId; energy(Wh)
560;3;0.0696
560;2;0.0696
560;1;0.0697
560;0;0.0696
570;11;0.0696
570;10;0.0696
570;9;0.0696
570;8;0.0699
570;7;0.0696
570;6;0.0696
570;5;0.0699
570;4;0.0695
570;3;0.0696
570;2;0.0696
570;1;0.0697
570;0;0.0696
580;11;0.0696
580;10;0.0696
580;9;0.0696
580;8;0.0699
580;7;0.0696
580;6;0.0696
580;5;0.0699
580;4;0.0695
580;3;0.0696
580;2;0.0696
580;1;0.0697
580;0;0.0696
590;11;0.0696
590;10;0.0696
590;9;0.0696
590;8;0.0699
590;7;0.0696
590;6;0.0696
590;5;0.0699
590;4;0.0695
590;3;0.0696
590;2;0.0696
590;1;0.0697
590;0;0.0696
600;11;0.0696
600;10;0.0696
600;9;0.0696
600;8;0.0699
600;7;0.0696
600;6;0.0696
600;5;0.0699
600;4;0.0695
600;3;0.0696
600;2;0.0696
600;1;0.0697
600;0;0.0696
610;11;0.0696
610;10;0.0696
610;9;0.0696
610;8;0.0699
610;7;0.0696
610;6;0.0696
610;5;0.0699
610;4;0.0695
610;3;0.0696
610;2;0.0696
610;1;0.0697
610;0;0.0696
620;11;0.0696
620;10;0.0696
620;9;0.0696
620;8;0.0699
620;7;0.0696
620;6;0.0696
620;5;0.0699
620;4;0.0695
620;3;0.0696
620;2;0.0696
620;1;0.0697
620;0;0.0696
630;11;0.0696
630;10;0.0696
630;9;0.0696
630;8;0.0699
630;7;0.0696
630;6;0.0696
630;5;0.0699
630;4;0.0695
630;3;0.0696
630;2;0.0696
630;1;0.0697
630;0;0.0696
640;11;0.0696
640;10;0.0696
640;9;0.0696
640;8;0.0699
640;7;0.0696
640;6;0.0696
640;5;0.0699
640;4;0.0695
640;3;0.0696
640;2;0.0696
640;1;0.0697
640;0;0.0696
650;11;0.0696
650;10;0.0696
650;9;0.0696
650;8;0.0699
650;7;0.0696
650;6;0.0696
650;5;0.0699
650;4;0.0695
650;3;0.0696
650;2;0.0696
650;1;0.0697
650;0;0.0696
660;11;0.0696
660;10;0.0696
660;9;0.0696
660;8;0.0699
660;7;0.0696
660;6;0.0696
660;5;0.0699
660;4;0.0695
660;3;0.0696
660;2;0.0696
660;1;0.0697
660;0;0.0696
670;11;0.0696
670;10;0.0696
670;9;0.0696
670;8;0.0699
670;7;0.0696
670;6;0.0696
670;5;0.0699
670;4;0.0695
670;3;0.0696
670;2;0.0696
670;1;0.0697
670;0;0.0696
680;11;0.0696
680;10;0.0696
680;9;0.0696
680;8;0.0699
680;7;0.0696
680;6;0.0696
680;5;0.0699
680;4;0.0695
680;3;0.0696
680;2;0.0696
680;1;0.0697
680;0;0.0696
690;11;0.0696
690;10;0.0696
690;9;0.0696
690;8;0.0699
690;7;0.0696
690;6;0.0696
690;5;0.0699
690;4;0.0695
690;3;0.0696
690;2;0.0696
690;1;0.0697
690;0;0.0696
700;11;0.0696
700;10;0.0696
700;9;0.0696
700;8;0.0699
700;7;0.0696
700;6;0.0696
700;5;0.0699
700;4;0.0695
700;3;0.0696
700;2;0.0696
700;1;0.0697
700;0;0.0696
710;11;0.0696
710;10;0.0696
710;9;0.0696
710;8;0.0699
710;7;0.0696
710;6;0.0696
710;5;0.0699
710;4;0.0695
710;3;0.0696
710;2;0.0696
710;1;0.0697
710;0;0.0696
720;11;0.0696
720;10;0.0696
720;9;0.0696
720;8;0.0699
720;7;0.0696
720;6;0.0696
720;5;0.0699
720;4;0.0695
720;3;0.0696
720;2;0.0696
720;1;0.0697
720;0;0.0696
730;11;0.0696
730;10;0.0696
730;9;0.0696
730;8;0.0699
730;7;0.0696
730;6;0.0696
730;5;0.0699
730;4;0.0695
730;3;0.0696
730;2;0.0696
730;1;0.0697
730;0;0.0696
740;11;0.0696
740;10;0.0696
740;9;0.0696
740;8;0.0699
740;7;0.0696
740;6;0.0696
740;5;0.0699
740;4;0.0695
740;3;0.0696
740;2;0.0696
740;1;0.0697
740;0;0.0696
750;11;0.0696
750;10;0.0696
750;9;0.0696
750;8;0.0699
750;7;0.0696
750;6;0.0696
750;5;0.0699
750;4;0.0695
750;3;0.0696
750;2;0.0696
750;1;0.0697
750;0;0.0696
760;11;0.0696
760;10;0.0696
760;9;0.0696
760;8;0.0699
760;7;0.0696
760;6;0.0696
760;5;0.0699
760;4;0.0695
760;3;0.0696
760;2;0.0696
760;1;0.0697
760;0;0.0696
770;11;0.0696
770;10;0.0696
770;9;0.0696
770;8;0.0699
770;7;0.0696
770;6;0.0696
770;5;0.0699
770;4;0.0695
770;3;0.0696
770;2;0.0696
770;1;0.0697
770;0;0.0696
780;11;0.0696
780;10;0.0696
780;9;0.0696
780;8;0.0699
780;7;0.0696
780;6;0.0696
780;5;0.0699
780;4;0.0695
780;3;0.0696
780;2;0.0696
780;1;0.0697
780;0;0.0696
790;11;0.0696
790;10;0.0696
790;9;0.0696
790;8;0.0699
790;7;0.0696
790;6;0.0696
790;5;0.0699
790;4;0.0695
790;3;0.0696
790;2;0.0696
790;1;0.0697
790;0;0.0696
800;11;0.0696
800;10;0.0696
800;9;0.0696
800;8;0.0699
800;7;0.0696
800;6;0.0696
800;5;0.0699
800;4;0.0695
800;3;0.0696
800;2;0.0696
800;1;0.0697
800;0;0.0696
810;11;0.0696
810;10;0.0696
810;9;0.0696
810;8;0.0699
810;7;0.0696
810;6;0.0696
810;5;0.0699
810;4;0.0695
810;3;0.0696
810;2;0.0696
810;1;0.0697
810;0;0.0696
820;11;0.0696
820;10;0.0696
820;9;0.0696
820;8;0.0699
820;7;0.0696
820;6;0.0696
820;5;0.0699
820;4;0.0695
820;3;0.0696
820;2;0.0696
820;1;0.0697
820;0;0.0696
830;11;0.0696
830;10;0.0696
830;9;0.0696
830;8;0.0699
830;7;0.0696
830;6;0.0696
830;5;0.0699
830;4;0.0695
830;3;0.0696
830;2;0.0696
830;1;0.0697
830;0;0.0696
840;11;0.0696
840;10;0.0696
840;9;0.0696
840;8;0.0699
840;7;0.0696
840;6;0.0696
840;5;0.0699
840;4;0.0695
840;3;0.0696
840;2;0.0696
840;1;0.0697
840;0;0.0696
850;11;0.0696
850;10;0.0696
850;9;0.0696
850;8;0.0699
850;7;0.0696
850;6;0.0696
850;5;0.0699
850;4;0.0695
850;3;0.0696
850;2;0.0696
850;1;0.0697
850;0;0.0696
860;11;0.0696
860;10;0.0696
860;9;0.0696
860;8;0.0699
860;7;0.0696
860;6;0.0696
860;5;0.0699
860;4;0.0695
860;3;0.0696
860;2;0.0696
860;1;0.0697
860;0;0.0696
870;11;0.0696
870;10;0.0696
870;9;0.0696
870;8;0.0699
870;7;0.0696
870;6;0.0696
870;5;0.0699
870;4;0.0695
870;3;0.0696
870;2;0.0696
870;1;0.0697
870;0;0.0696
880;11;0.0696
880;10;0.0696
880;9;0.0696
880;8;0.0699
880;7;0.0696
880;6;0.0696
880;5;0.0699
