# units: time(s); hostId; vmIds
870;4;16
870;3;6|1|18
870;2;0
870;1;13
870;0;14|17
880;11;9
880;10;8|3
880;9;15|19|4
880;8;10
880;7;2|7
880;6;11|5
880;5;12
880;4;16
880;3;6|1|18
880;2;0
880;1;13
880;0;14|17
890;11;9
890;10;8|3
890;9;15|19|4
890;8;10
890;7;2|7
890;6;11|5
890;5;12
890;4;16
890;3;6|1|18
890;2;0
890;1;13
890;0;14|17
900;11;9
900;10;8|3
900;9;15|19|4
900;8;10
900;7;2|7
900;6;11|5
900;5;12
900;4;16
900;3;6|1|18
900;2;0
900;1;13
900;0;14|17
910;11;9
910;10;8|3
910;9;15|19|4
910;8;10
910;7;2|7
910;6;11|5
910;5;12
910;4;16
910;3;6|1|18
910;2;0
910;1;13
910;0;14|17
920;11;9
920;10;8|3
920;9;15|19|4
920;8;10
920;7;2|7
920;6;11|5
920;5;12
920;4;16
920;3;6|1|18
920;2;0
920;1;13
920;0;14|17
930;11;9
930;10;8|3
930;9;15|19|4
930;8;10
930;7;2|7
930;6;11|5
930;5;12
930;4;16
930;3;6|1|18
930;2;0
930;1;13
930;0;14|17
940;11;9
940;10;8|3
940;9;15|19|4
940;8;10
940;7;2|7
940;6;11|5
940;5;12
940;4;16
940;3;6|1|18
940;2;0
940;1;13
940;0;14|17
950;11;9
950;10;8|3
950;9;15|19|4
950;8;10
950;7;2|7
950;6;11|5
950;5;12
950;4;16
950;3;6|1|18
950;2;0
950;1;13
950;0;14|17
960;11;9
960;10;8|3
960;9;15|19|4
960;8;10
960;7;2|7
960;6;11|5
960;5;12
960;4;16
960;3;6|1|18
960;2;0
960;1;13
960;0;14|17
970;11;9
970;10;8|3
970;9;15|19|4
970;8;10
970;7;2|7
970;6;11|5
970;5;12
970;4;16
970;3;6|1|18
970;2;0
970;1;13
970;0;14|17
980;11;9
980;10;8|3
980;9;15|19|4
980;8;10
980;7;2|7
980;6;11|5
980;5;12
980;4;16
980;3;6|1|18
980;2;0
980;1;13
980;0;14|17
990;11;9
990;10;8|3
990;9;15|19|4
990;8;10
990;7;2|7
990;6;11|5
990;5;12
990;4;16
990;3;6|1|18
990;2;0
990;1;13
990;0;14|17
1000;11;9
1000;10;8|3
1000;9;15|19|4
1000;8;10
1000;7;2|7
1000;6;11|5
1000;5;12
1000;4;16
1000;3;6|1|18
1000;2;0
1000;1;13
1000;0;14|17
1010;11;9
1010;10;8|3
1010;9;15|19|4
1010;8;10
1010;7;2|7
1010;6;11|5
1010;5;12
1010;4;16
1010;3;6|1|18
1010;2;0
1010;1;13
1010;0;14|17
1020;11;9
1020;10;8|3
1020;9;15|19|4
1020;8;10
1020;7;2|7
1020;6;11|5
1020;5;12
1020;4;16
1020;3;6|1|18
1020;2;0
1020;1;13
1020;0;14|17
1030;11;9
1030;10;8|3
1030;9;15|19|4
1030;8;10
1030;7;2|7
1030;6;11|5
1030;5;12
1030;4;16
1030;3;6|1|18
1030;2;0
1030;1;13
1030;0;14|17
1040;11;9
1040;10;8|3
1040;9;15|19|4
1040;8;10
1040;7;2|7
1040;6;11|5
1040;5;12
1040;4;16
1040;3;6|1|18
1040;2;0
1040;1;13
1040;0;14|17
1050;11;9
1050;10;8|3
1050;9;15|19|4
1050;8;10
1050;7;2|7
1050;6;11|5
1050;5;12
1050;4;16
1050;3;6|1|18
1050;2;0
1050;1;13
1050;0;14|17
1060;11;9
1060;10;8|3
1060;9;15|19|4
1060;8;10
1060;7;2|7
1060;6;11|5
1060;5;12
1060;4;16
1060;3;6|1|18
1060;2;0
1060;1;13
1060;0;14|17
1070;11;9
1070;10;8|3
1070;9;15|19|4
1070;8;10
1070;7;2|7
1070;6;11|5
1070;5;12
1070;4;16
1070;3;6|1|18
1070;2;0
1070;1;13
1070;0;14|17
1080;11;9
1080;10;8|3
1080;9;15|19|4
1080;8;10
1080;7;2|7
1080;6;11|5
1080;5;12
1080;4;16
1080;3;6|1|18
1080;2;0
1080;1;13
1080;0;14|17
1090;11;9
1090;10;8|3
1090;9;15|19|4
1090;8;10
1090;7;2|7
1090;6;11|5
1090;5;12
1090;4;16
1090;3;6|1|18
1090;2;0
1090;1;13
1090;0;14|17
1100;11;9
1100;10;8|3
1100;9;15|19|4
1100;8;10
1100;7;2|7
1100;6;11|5
1100;5;12
1100;4;16
1100;3;6|1|18
1100;2;0
1100;1;13
1100;0;14|17
1110;11;9
1110;10;8|3
1110;9;15|19|4
1110;8;10
1110;7;2|7
1110;6;11|5
1110;5;12
1110;4;16
1110;3;6|1|18
1110;2;0
1110;1;13
1110;0;14|17
1120;11;9
1120;10;8|3
1120;9;15|19|4
1120;8;10
1120;7;2|7
1120;6;11|5
1120;5;12
1120;4;16
1120;3;6|1|18
1120;2;0
1120;1;13
1120;0;14|17
1130;11;9
1130;10;8|3
1130;9;15|19|4
1130;8;10
1130;7;2|7
1130;6;11|5
1130;5;12
1130;4;16
1130;3;6|1|18
1130;2;0
1130;1;13
1130;0;14|17
1140;11;9
1140;10;8|3
1140;9;15|19|4
1140;8;10
1140;7;2|7
1140;6;11|5
1140;5;12
1140;4;16
1140;3;6|1|18
1140;2;0
1140;1;13
1140;0;14|17
1150;11;9
1150;10;8|3
1150;9;15|19|4
1150;8;10
1150;7;2|7
1150;6;11|5
1150;5;12
1150;4;16
1150;3;6|1|18
1150;2;0
1150;1;13
1150;0;14|17
1160;11;9
1160;10;8|3
1160;9;15|19|4
1160;8;10
1160;7;2|7
1160;6;11|5
1160;5;12
1160;4;16
1160;3;6|1|18
1160;2;0
1160;1;13
1160;0;14|17
1170;11;9
1170;10;8|3
1170;9;15|19|4
1170;8;10
1170;7;2|7
1170;6;11|5
1170;5;12
1170;4;16
1170;3;6|1|18
1170;2;0
1170;1;13
1170;0;14|17
1180;11;9
1180;10;8|3
1180;9;15|19|4
1180;8;10
1180;7;2|7
1180;6;11|5
1180;5;12
1180;4;16
1180;3;6|1|18
